a_event,phase,s0_linear_m,s1_mps,s0_quad_m,sigma_a_mps2,rms_resid_linear_m,rms_resid_quad_m,sd_accel_direct_mps2,sd_accel_direct_unweighted_mps2,n_accel,n_scenarios
-0.3,benign,0.09151686344166916,0.10577194101771005,0.15876352891766238,0.06572127601958228,0.02999066213359645,0.05608384183548888,0.2591260343374544,0.24856261788580625,219179,2725
-0.3,event,0.0,1.9825152884104589,1.2765302463394073,1.2918488858884225,0.7463838391507612,0.4643410259733051,1.6634038830652158,1.5644093669384518,281729,3240
-0.5,benign,0.0,0.15229492982817872,0.16755027885549995,0.097522186283942,0.015611589239254818,0.057168304979327726,0.28217310649847777,0.2678579648631471,232928,2979
-0.5,event,0.0,1.9521147529082534,1.2708842346979734,1.2715235037774293,0.7289030969385353,0.46367619791661174,1.650565194275749,1.547697935499358,268324,3200
-1.0,benign,0.0,0.3048780660714831,0.22304333738066445,0.19850290874640325,0.09467816414303057,0.07554460461584891,0.35246393497966777,0.34565421900270404,262095,3460
-1.0,event,0.0,1.939559914972964,1.2519961910504809,1.263726255322476,0.728669610966854,0.454861885907143,1.6454409514327657,1.5257802861280387,239858,3064
