video,cp,dg,G_continue,dg_released
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,91532.9957882452,112155.17533219307,77952.33833393652
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,107649.61113900093,129158.99880396883,184267.09916982468
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,110662.5245122474,131993.2672424294,75934.97725714599
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,113085.10572220763,135798.7789775467,65804.64327602845
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,12437.997035069759,24275.313223006167,446188.3426904553
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,79319.82184654102,99627.42184654101,330073.44240030437
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,112969.28081509368,133276.88081509367,118990.39960255523
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,116336.83205256262,136652.44800769948,385282.2654477974
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,119040.68144700477,139422.07637550926,217747.3908732693
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,19287.677443528548,26897.161754414545,2105551.157103889
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,102119.06760139838,122426.66760139837,60674.0711800959
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,108363.97058559103,128671.57058559102,3455339.9536975236
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,22086.587137323222,26769.9884687775,5254794.4872179665
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,97057.59973615245,108177.56953107924,61397.804934861044
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,99279.50760767543,116887.60411478643,688315.3020338678
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1070.8138944503262,12750.721886655781,1044007.9796116742
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,143430.5565298492,177087.79355258244,12196586.785469087
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,146596.4992117695,184173.16214159378,111629.64390927351
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,143018.48276011212,182915.89411820236,112194.73741469072
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,136481.6056882211,180876.16160850413,115653.54595871185
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,24861.240887943903,40501.683890664346,17641528.483198587
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,145710.0301372021,171317.71443928327,218814.39592165462
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,119368.16090521394,147699.8932151107,792783.9913036491
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,109865.88066134769,140136.79995115247,6751316.82219527
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,87573.44199059537,120979.52191424678,542890.2315236919
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,5243.545611766509,22025.540187647366,157223308.70334974
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,115750.4142800463,136103.19044232546,232772.80139856215
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,85348.85504668317,107059.68663225717,373403.58625532757
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,64244.45723826502,87061.30360241822,8039513.996577863
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,43782.45836679407,68935.17733256175,31225829.36016253
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,13333.281557720993,26090.84887517621,2295301.9757331316
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,60765.3507785316,81072.9507785316,1588079.6026492727
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,34959.56407020966,55283.57985241122,5316954.723240991
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,22033.164940841452,27840.25874270242,717334.7805885397
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,75070.0233994144,94421.90789616371,74870.91139225189
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,36082.65327250007,56390.25327250007,347929.1384993572
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,1806.6716742744156,13523.191187880066,14532035.607325254
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,74990.92099502709,101953.75550687572,312146.5476511867
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,123166.93514272314,156545.2916673576,119216.26715290731
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,124546.92781444924,161141.41595897323,111282.2234585827
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,124465.27217138986,164344.10501473877,115365.8903772069
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0,16404.57856413345,8106954.255672315
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,137976.49860950361,162738.8076298008,116980.17848793851
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,149293.80874477178,177057.3434003463,415648.692344706
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,149687.97039221192,178136.87927639086,95577.74363909538
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,150515.40953812518,183578.29983690186,102946.68304322482
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,5251.827366501599,22032.656122028813,132471953.81959186
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,144426.86854214277,164765.95426269245,358274.7718715004
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,147482.84042130728,169111.21811248208,328308.247629647
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,142749.4697219089,165485.21590192636,144094.51039749812
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,142379.812161306,167434.09816056956,165097.02560312208
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,20852.464126915016,27536.7194186545,408377.292126278
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,104178.62087484503,124486.22087484502,71468.37377252938
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,93699.99041801615,114007.59041801615,3258088.494832945
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,22091.640305082452,26229.04285842117,22582.371569833962
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,105297.039415868,113317.47712370825,7599716.682351678
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,87152.19695345122,98466.83829417841,281793.5787629915
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1060.1065887945842,12839.188008343075,5516742.496546344
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,72645.74092337067,99116.71005760501,271593.6163726434
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,91325.89554996963,121824.26736882645,4554902.794784766
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,94684.39684244365,126644.29667791334,1737466.7341657116
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,100047.72913986538,134525.50727034052,1824212.781940102
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,605.7758315340889,16051.846839417878,54370676.936064355
