arm,post,cp1,rows,n_rows,rho_p,rho_gap,zeros,brake_cost
released,0.32018292364097745,0.5381471499840987,0,24,-0.6482362695227665,0.847924175463969,0,20307.599999999995
tolerances,0.32018292448465285,0.5381471488889138,0,24,-0.45636109754207593,0.7264621106245294,0,2241.9000000000005
no_psafe,0.2959369126516471,0.2994848295107814,3,24,0.34678630384523745,-0.06328962117328395,0,2241.9000000000005
strand1,0.32208805251147493,0.27897452235817594,3,24,0.19197894003468774,0.060884389489480835,8,2241.9000000000005
