sd_keep,post,cp1,level,rho_g1,gate_slow_cp2,gate_pre,pass_a,pass_b
0.004,0.11297534268384166,0.03146302443651954,0.03355459300926539,,1.0,0.07000085906918879,False,True
0.02,0.11297534268384166,0.031463636687791424,0.03355459300926539,,1.0,0.07000376955902153,False,True
0.05,0.11297534268384166,0.03146484512980223,0.03355459300926539,,1.0,0.07000939326475157,False,True
0.1,0.11290916445914162,0.031469162113935786,0.0335371643415518,0.7417124958228141,0.9999995359013175,0.07001880175220486,False,True
0.15,0.11601701849288981,0.07480329647721419,0.03766337436197028,0.9112678019205706,0.9494552111624097,0.07002823892574837,False,False
0.2,0.12325198705587144,0.1900999269995055,0.045228821093893035,0.9437929768334538,0.30621432027823364,0.07003770307418435,False,False
0.33,0.18685562306900255,0.3385491606057623,0.0508470443020918,0.9691808756838696,0.08644507742015546,0.07006243492421796,False,False
