video,trace,cp,lcd,s_t,e_t,t_kin,on_world_0.05,on_world_0.1,on_world_0.2,on_world_0.4,on_joint_0.05,on_joint_0.1,on_joint_0.2,on_joint_0.4,on_relative_0.05,on_relative_0.1,on_relative_0.2,on_relative_0.4,theta_e,theta_dot_e,theta_on_world_0.05,theta_on_world_0.1,theta_on_world_0.2,theta_on_world_0.4,theta_on_joint_0.05,theta_on_joint_0.1,theta_on_joint_0.2,theta_on_joint_0.4,theta_on_relative_0.05,theta_on_relative_0.1,theta_on_relative_0.2,theta_on_relative_0.4
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,LC_dv14_Tlc4p0_TTC04,CP3,4.0,5.667,15.667,15.267,15.267,15.367,15.633,19.9,15.267,15.367,15.633,19.833,15.267,15.367,15.633,19.633,0.13081688267108976,0.03405929123348009,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9319494139563638,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9761896972320203,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.8192276593050316
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,LC_dv14_Tlc4p0_TTC04,CP4,4.0,5.967,15.967,15.267,15.267,15.367,15.633,19.9,15.267,15.367,15.633,19.833,15.267,15.367,15.633,19.633,0.14209893648343738,0.0401770643264649,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9319494139563638,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9761896972320203,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.8192276593050316
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,LC_dv14_Tlc4p0_TTC04,CP5,4.0,6.267,16.267,15.267,15.267,15.367,15.633,19.9,15.267,15.367,15.633,19.833,15.267,15.367,15.633,19.633,0.15551919059151043,0.048108289381836616,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9319494139563638,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.9761896972320203,0.11832339359733564,0.12122370310217484,0.12966485621068194,2.8192276593050316
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,LC_dv14_Tlc4p0_TTC05,CP1,4.0,5.033,15.033,15.3,15.3,15.433,15.7,,15.3,15.433,15.7,,15.3,15.433,15.7,,0.09030205669493327,0.01622856453434501,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,LC_dv14_Tlc4p0_TTC05,CP2,4.0,5.333,15.333,15.3,15.3,15.433,15.7,,15.3,15.433,15.7,,15.3,15.433,15.7,,0.09550884501154071,0.018162209289070808,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,LC_dv14_Tlc4p0_TTC05,CP4,4.0,5.933,15.933,15.3,15.3,15.433,15.7,,15.3,15.433,15.7,,15.3,15.433,15.7,,0.10799371357381476,0.023222141654366067,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,,0.09490246628691233,0.09740052356691732,0.10277906497150804,
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,LC_dv14_Tlc4p0_TTC07,CP1,4.0,5.067,15.067,15.267,15.233,15.4,15.633,,15.233,15.4,15.633,,15.233,15.4,15.633,,0.06634842360205814,0.008763586082619196,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,LC_dv14_Tlc4p0_TTC07,CP3,4.0,5.667,15.667,15.267,15.233,15.4,15.633,,15.233,15.4,15.633,,15.233,15.4,15.633,,0.07215339970374182,0.010371763830159923,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,LC_dv14_Tlc4p0_TTC07,CP5,4.0,6.267,16.267,15.267,15.233,15.4,15.633,,15.233,15.4,15.633,,15.233,15.4,15.633,,0.07909089884085387,0.012461033575769918,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,,0.06786960300926016,0.0694467700891377,0.07180393634798704,
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,LC_dv21_Tlc2p0_TTC02,CP1,2.0,5.067,15.067,15.2,15.2,15.267,15.4,15.633,15.2,15.267,15.4,15.633,15.2,15.233,15.4,15.633,0.1497989939467379,0.06774087350202201,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16215133101598822,0.17683402928539024,0.20250101371897755
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,LC_dv21_Tlc2p0_TTC02,CP2,2.0,5.367,15.367,15.2,15.2,15.267,15.4,15.633,15.2,15.267,15.4,15.633,15.2,15.233,15.4,15.633,0.17369227547623045,0.09122311787816612,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16215133101598822,0.17683402928539024,0.20250101371897755
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,LC_dv21_Tlc2p0_TTC02,CP3,2.0,5.667,15.667,15.2,15.2,15.267,15.4,15.633,15.2,15.267,15.4,15.633,15.2,15.233,15.4,15.633,0.20680280768557305,0.12911363239729243,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16215133101598822,0.17683402928539024,0.20250101371897755
LC_dv21_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,LC_dv21_Tlc2p0_TTC02,CP4,2.0,5.967,15.967,15.2,15.2,15.267,15.4,15.633,15.2,15.267,15.4,15.633,15.2,15.233,15.4,15.633,0.2553908431657401,0.1964735278322489,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16215133101598822,0.17683402928539024,0.20250101371897755
LC_dv21_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,LC_dv21_Tlc2p0_TTC02,CP5,2.0,6.267,16.267,15.2,15.2,15.267,15.4,15.633,15.2,15.267,15.4,15.633,15.2,15.233,15.4,15.633,0.33336990523965215,0.3333139760992053,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16490149950167143,0.17683402928539024,0.20250101371897755,0.15949119904143777,0.16215133101598822,0.17683402928539024,0.20250101371897755
LC_dv21_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,LC_dv21_Tlc2p0_TTC03,CP1,2.0,5.067,15.067,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.10258315905835413,0.030972399768209105,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602
LC_dv21_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,LC_dv21_Tlc2p0_TTC03,CP2,2.0,5.367,15.367,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.11331359372869022,0.03888762599360127,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602
LC_dv21_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,LC_dv21_Tlc2p0_TTC03,CP3,2.0,5.667,15.667,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.12646286624858602,0.04837293070205887,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602
LC_dv21_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,LC_dv21_Tlc2p0_TTC03,CP4,2.0,5.967,15.967,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.14318903522275134,0.06199156546253016,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602
LC_dv21_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,LC_dv21_Tlc2p0_TTC03,CP5,2.0,6.267,16.267,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.16491591677461265,0.08214236870884059,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602,0.10708515845196091,0.10948751352450607,0.11460252018556087,0.12646286624858602
LC_dv21_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,LC_dv21_Tlc2p0_TTC04,CP1,2.0,5.067,15.067,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.0777358534673638,0.018267087327080517,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826
LC_dv21_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,LC_dv21_Tlc2p0_TTC04,CP2,2.0,5.367,15.367,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.08374070952678625,0.021244939387453712,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826
LC_dv21_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,LC_dv21_Tlc2p0_TTC04,CP3,2.0,5.667,15.667,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.0907633719989826,0.024946339800064166,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826
LC_dv21_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,LC_dv21_Tlc2p0_TTC04,CP4,2.0,5.967,15.967,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.09907067221256757,0.02970230890389069,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826
LC_dv21_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,LC_dv21_Tlc2p0_TTC04,CP5,2.0,6.267,16.267,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.1090502045437073,0.036044502168431844,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826,0.08029149400836057,0.08163511569570894,0.08446943224252097,0.0907633719989826
LC_dv21_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,LC_dv21_Tlc2p0_TTC05,CP1,2.0,5.067,15.067,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.06270650516027443,0.01188852987811129,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222
LC_dv21_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,LC_dv21_Tlc2p0_TTC05,CP2,2.0,5.367,15.367,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.06654541561629382,0.013421101497679673,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222
LC_dv21_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,LC_dv21_Tlc2p0_TTC05,CP4,2.0,5.967,15.967,15.2,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,15.2,15.267,15.4,15.667,0.07586293388466545,0.01742232890556054,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222,0.06435927522035058,0.06520859146110634,0.06700487302985446,0.07089281438021222
LC_dv21_Tlc2p0_TTC07_CP1_S5p033_E15p033.mp4,LC_dv21_Tlc2p0_TTC07,CP1,2.0,5.033,15.033,15.233,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,0.045626282090280613,0.006295063164399525,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294
LC_dv21_Tlc2p0_TTC07_CP3_S5p633_E15p633.mp4,LC_dv21_Tlc2p0_TTC07,CP3,2.0,5.633,15.633,15.233,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,0.04981496339061953,0.007518194760637837,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294
LC_dv21_Tlc2p0_TTC07_CP5_S6p233_E16p233.mp4,LC_dv21_Tlc2p0_TTC07,CP5,2.0,6.233,16.233,15.233,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,15.233,15.3,15.433,15.7,0.05484385826211252,0.009104371381714101,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294,0.04693341622737829,0.047390700370391295,0.04833128626009619,0.050329072967157294
LC_dv21_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,LC_dv21_Tlc3p0_TTC02,CP1,3.0,5.067,15.067,15.2,15.233,15.3,15.533,15.9,15.233,15.3,15.533,15.9,15.233,15.333,15.5,15.9,0.15020472412612312,0.068107631295767,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.1711398621504884,0.18740524047952256,0.24289725893747496
LC_dv21_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,LC_dv21_Tlc3p0_TTC02,CP2,3.0,5.367,15.367,15.2,15.233,15.3,15.533,15.9,15.233,15.3,15.533,15.9,15.233,15.333,15.5,15.9,0.17418938147350382,0.09164821329649207,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.1711398621504884,0.18740524047952256,0.24289725893747496
LC_dv21_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,LC_dv21_Tlc3p0_TTC02,CP3,3.0,5.667,15.667,15.2,15.233,15.3,15.533,15.9,15.233,15.3,15.533,15.9,15.233,15.333,15.5,15.9,0.2070748867317744,0.12600152307783682,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.1711398621504884,0.18740524047952256,0.24289725893747496
LC_dv21_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,LC_dv21_Tlc3p0_TTC02,CP4,3.0,5.967,15.967,15.2,15.233,15.3,15.533,15.9,15.233,15.3,15.533,15.9,15.233,15.333,15.5,15.9,0.25552879339444284,0.19699523511679629,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.16822503135979633,0.19104696709354835,0.24289725893747496,0.1626547335120541,0.1711398621504884,0.18740524047952256,0.24289725893747496
