driver,diff_log_theta_dot
1317363,-0.0105292908327141
1317367,0.010457868859846986
1317386,-0.1427478280990842
1317403,-0.08124313803389863
1331199,-0.44044693815327446
1331200,0.06431818970759098
1331202,-0.3697836152982143
1331203,-0.4006515035242968
1331204,-0.2014503772207549
1331205,0.06927913266848665
1331207,-0.4652264338160739
1331209,-0.12395414077110063
1331210,-0.06265556164320377
1331212,-0.0954838921889892
1331213,0.038600925490159185
1331214,0.041151203978880876
1331216,-0.018764121447831083
1331217,-0.5856825575657435
1331219,0.04343161245867302
1331222,-0.08340927879814464
1331223,-0.02132223721777384
1331224,-0.17586941510855708
1331225,0.03170973338934289
1331227,0.057532972905786385
1331228,-0.10532187096759768
1331229,-0.21793093649242143
1331230,0.0014201517943102538
1331231,0.0492835136342344
1331232,-0.1825998134526227
1331233,-0.156009507129313
1331234,-0.19721747646399343
1331235,-0.2206451751089551
1331236,-0.885859402736058
1331237,-0.18695056569365534
1331241,-0.2849182809558455
1331242,-0.08640305608867846
1331243,-0.08626629223246969
1331244,0.08000488176484533
1331246,-0.08429017194265773
1331247,-0.16375485960827812
1331249,-0.20879931879014063
1331252,0.14623360124685894
1331255,0.1870399444824841
