driver,level_cutin_log_dg,level_ltap_log_dg
1317363,11.503194339806475,10.962038541015936
1317367,10.710548276742134,10.972016162994132
1317386,11.742733667803254,10.97201616299413
1317403,10.37229304634143,10.193069000405393
1331199,12.08577918041291,10.962335965503703
1331200,12.320613203793524,11.905983796186957
1331202,12.40210668673335,10.962038541015936
1331203,12.207613485928443,11.905983796685174
1331204,12.87508036812174,10.962107717477707
1331205,11.293933169028438,10.97075309456276
1331207,11.547553095941677,10.966751255650275
1331209,10.781176186161549,10.976427908619733
1331210,10.831312033112678,10.97201616299413
1331212,10.850543165224526,10.964848336712029
1331213,11.275344793273122,10.974873734196139
1331214,12.132258498807737,10.970753094562761
1331216,11.70883456975926,10.962204546355993
1331217,13.245749163884419,11.90598379668517
1331219,11.870153780653476,10.965984988172021
1331222,14.020352442186837,11.905983796685172
1331223,11.504839152078155,10.962496707159548
1331224,10.781350387682258,10.97487373419614
1331225,12.446874232146168,10.968622339743325
1331227,11.848508261406376,10.973401757628903
1331228,11.979819334826995,10.972016162994132
1331229,12.44726398553084,11.905983796014189
1331230,12.48816935724686,10.961919375062946
1331231,12.486249821177921,10.967653319444455
1331232,13.245554599572968,11.905983796685168
1331233,12.651144622868864,10.967653319444455
1331234,11.686099734469133,10.962496707159552
1331235,11.708286484498284,10.963449159547276
1331236,12.23535306718881,11.905983793292975
1331237,10.984328817846302,10.965984988172023
1331241,11.3820222536165,10.978044160697161
1331242,9.803925545005367,10.193069000405393
1331243,11.375761160758827,10.964352801050397
1331244,12.063961100208013,10.96598498817202
1331246,11.857250201810048,11.905983795011654
1331247,12.400470946820931,11.905983796200928
1331249,12.945942512853744,10.962107717477709
1331252,10.87575825975417,10.972016162994128
1331255,12.878227599865776,11.90598379668517
