driver,level_cutin_log,level_cutin_rad_s,level_ltap_pet_s,propensity_cutin,propensity_ltap
1317363,-4.000950479997648,0.018298238510991764,1.2527310470018813,0.08139534883720931,-0.2680878552971576
1317367,-4.4655312546595,0.011498585459968283,3.5553249558692124,0.30361757105943155,0.2596899224806202
1317386,-3.664790576255706,0.025609533966649414,2.792423857538863,-0.0019379844961240214,0.2596899224806202
1317403,-3.691379420551086,0.02493757889691272,4.616701089450078,0.5952842377260983,0.39857881136950907
1331199,-3.268653415914354,0.038057640398810585,1.6641498250705977,-0.09916020671834624,-0.18475452196382428
1331200,-3.4267834764165164,0.0324912818495072,2.1772037684307186,0.10917312661498708,0.009689922480620165
1331202,-2.910721403056805,0.05443644508292672,1.2525106380454096,-0.1824935400516796,-0.2680878552971576
1331203,-3.1855251563043208,0.041356521459163076,0.4418325727604435,-0.14082687338501293,-0.43475452196382425
1331204,-2.4331563963570706,0.08775939153202349,1.3424914252076026,-0.2936046511627907,-0.24031007751937983
1331205,-4.081306033768987,0.016885398345076057,3.4965020827189934,0.13695090439276486,0.23191214470284238
1331207,-3.830997163599756,0.021687978381109106,2.960358754176655,0.08139534883720931,0.12080103359173128
1331209,-4.654166116934937,0.009521850041820165,3.6093526536267495,0.27583979328165376,0.3430232558139535
1331210,-4.654069477666275,0.009522770270908934,3.663831151538357,0.26195090439276486,0.2596899224806202
1331212,-4.490192946320546,0.011218479036501087,2.5635795284535536,0.26195090439276486,0.03746770025839794
1331213,-4.10557842768262,0.01648048331305077,3.9968066950832792,0.15083979328165376,0.31524547803617575
1331214,-3.240365780769097,0.03914957231897537,3.5372468539382163,-0.11304909560723514,0.23191214470284238
1331216,-3.6824974588569632,0.025160060089521978,1.479129474511557,0.011950904392764868,-0.21253229974160204
1331217,-2.0636583249330505,0.12698855369984197,-0.6592930270626017,-0.34916020671834624,-0.5736434108527132
1331219,-3.621861253242981,0.026732873511518162,2.7106925313084034,0.011950904392764868,0.0930232558139535
1331222,-1.3004294642400085,0.27241477550386,-0.3303643744078286,-0.4047157622739018,-0.5458656330749354
1331223,-3.9856586742407583,0.018580201990886606,1.691948798082461,0.08139534883720931,-0.15697674418604649
1331224,-4.283027716811155,0.013800813810102916,2.5729783199731653,0.41472868217054265,0.31524547803617575
1331225,-2.8706413239264728,0.0566625758591653,1.8224338255027674,-0.19638242894056845,0.17635658914728683
1331227,-3.5869620766156363,0.027682299517870455,3.8058000841196438,-0.0297157622739018,0.28746770025839796
1331228,-3.5106629768490727,0.029877100043763663,3.696891795579225,-0.05749354005167958,0.2596899224806202
1331229,-2.87155272369364,0.056610957126943515,1.6908433464451766,-0.19638242894056845,-0.07364341085271316
1331230,-2.8429189563838606,0.05825537265413772,0.8240985473604527,-0.21027131782945738,-0.35142118863049093
1331231,-2.7584401868181287,0.06339056872925956,2.7867798210640857,-0.21027131782945738,0.14857881136950907
1331232,-2.0495524275343135,0.12879253468210636,0.23954391090659619,-0.34916020671834624,-0.4625322997416021
1331233,-2.696671502749634,0.06742957879887733,3.0774162457752485,-0.23804909560723514,0.14857881136950907
1331234,-3.6486744964644644,0.02602560295461766,1.7849627120547742,0.039728682170542644,-0.15697674418604649
1331235,-3.685344818577882,0.02508852224317078,2.130488814704945,0.011950904392764868,-0.04586563307493538
1331236,-3.2275118341156075,0.03965604695861107,0.9985278953007538,-0.11304909560723514,-0.32364341085271314
1331237,-4.412509872887024,0.012124708630918659,2.669105096421285,0.2202842377260982,0.09302325581395349
1331241,-3.962333742204955,0.019018677769093523,4.38519068779262,0.10917312661498708,0.3708010335917313
1331242,-4.9085088196534485,0.007383490241950675,4.616701089450078,0.498062015503876,0.39857881136950907
1331243,-4.036044817554341,0.017667211454006484,2.4387515495566867,0.10917312661498708,0.009689922480620165
1331244,-3.283507360908369,0.0374965121033683,2.783191665457527,-0.08527131782945735,0.0930232558139535
1331246,-3.635002430730367,0.026383870255271575,1.2891324022169985,0.011950904392764868,-0.24031007751937983
1331247,-2.972794126596513,0.051160162467790045,0.6706765519169068,-0.1547157622739018,0.2596899224806202
1331249,-2.3519936909780825,0.09517921498820683,1.3369171507421356,-0.3074935400516796,-0.24031007751937983
1331252,-4.633379973015674,0.009721843937323197,3.6657156101213353,0.24806201550387597,0.2596899224806202
1331255,-2.4482843734611235,0.086441761136329,-1.1564188436750769,-0.2936046511627907,-0.601421188630491
