video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,W,shown_s,theta_dot,F1_sum_invtau,F2_sum_invtau2,F3_sum_theta,F4_sum_theta2,P1_past_clip,P2_past_onset,P3_past_clip_excess,eps_in_path
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0,21,2.0,2.0,3.888888888888889,7.0,1.882,10.0,0.2285875860359767,0.0,0.0,0.0,0.0,0.4032857142857143,0.0,0.06728571428571434,20.651894072614983
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,1.882,10.0,0.30980266975161547,0.0,0.0,0.0,0.0,0.48661926308985126,0.08540168067226891,0.1506192630898513,301.71801476056635
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.85,10,2.0,1.4,2.722222222222222,7.0,1.882,10.0,0.44111084238872766,0.0,0.0,0.0,0.0,0.6064446831364124,0.20740408163265303,0.27044468313641246,291.94212178132955
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,11,2.0,1.1,2.138888888888889,7.0,1.882,10.0,0.6701878220052501,0.0,0.0,0.0,0.0,0.7926991926991926,0.39595324675324667,0.4566991926991927,290.7298634227986
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.85,10,2.0,0.8,1.5555555555555556,7.0,1.882,10.0,1.107166496763433,0.0,0.0,0.0,0.0,1.120238095238095,0.7259142857142855,0.7842380952380951,281.2180560690462
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,1.882,10.0,0.10481532152975861,0.1887421245968772,0.0692431561996779,0.06701946169772253,0.008808338187694534,0.24817582417582418,0.0,0.0,22.07628926908883
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.8181818181818182,11,3.0,2.7,5.25,7.0,1.882,10.0,0.1286363501312956,0.083381608939051,0.03220611916264089,0.031171842650103507,0.004508967379486479,0.2822647169103861,0.035847619047619024,0.0,317.7551223757979
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.75,10,3.0,2.4,4.666666666666666,7.0,1.882,10.0,0.16147035518266575,0.0,0.0,0.0,0.0,0.32523041474654374,0.08065714285714283,0.0,294.3081871671119
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,1.882,10.0,0.20840738355309427,0.0,0.0,0.0,0.0,0.38090740428402764,0.13826938775510209,0.044907404284027674,311.02042746579986
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.8,10,3.0,1.8,3.5,7.0,1.882,10.0,0.2785923442350108,0.0,0.0,0.0,0.0,0.4556900726392251,0.21508571428571424,0.11969007263922515,301.8613370988651
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0,21,4.0,4.0,7.777777777777778,7.0,1.882,10.0,0.05962016441885881,0.4764241970486583,0.1525764895330112,0.14767660455486536,0.015494623289735351,0.1728367346938776,0.0,0.0,25.35618336352981
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,1.882,10.0,0.06951104310438115,0.3984626555789464,0.13230621926274097,0.12805729953556036,0.014208965400185123,0.19094214130710477,0.019619305019304988,0.0,343.04435163243164
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.7,10,4.0,3.4,6.611111111111111,7.0,1.882,10.0,0.08206454509376791,0.31390526755088327,0.10845884247418767,0.10497576421873091,0.012428872870439605,0.212441991722062,0.04270084033613446,0.0,324.68757757985134
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,1.882,10.0,0.09832039643089004,0.22153194741986823,0.07999584437172091,0.07742683496961193,0.009891860592036622,0.23833679248601683,0.07024976958525343,0.0,340.1834558993392
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.85,10,4.0,2.8,5.444444444444444,7.0,1.882,10.0,0.11987387378254959,0.11974925310992582,0.04543363239015408,0.04397456373853884,0.006148786757933121,0.2700573979591837,0.10370204081632652,0.0,333.21589523373
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,11,5.0,5.0,9.72222222222222,7.0,1.882,10.0,0.03835610749931202,0.6995677483628678,0.2025764895330112,0.19607089026915106,0.017875663627694532,0.1290514285714286,0.0,0.0,25.498339775673774
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0,1.882,10.0,0.04335589559376761,0.6376923446447805,0.18981053208620272,0.1837149024272058,0.01736611251443233,0.1400905651014205,0.01235598784194532,0.0,371.9287084439128
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0,1.882,10.0,0.05678680578500393,0.5011168096390296,0.15867405050862093,0.1535783467151441,0.015842999688821673,0.1674253095114538,0.04249254355400699,0.0,322.10812268690046
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0,10,7.0,7.0,13.61111111111111,7.0,1.882,10.0,0.01965880832310054,1.036039984984081,0.2597193466758684,0.2513786453711919,0.01946340318680205,0.08133493397358944,0.0,0.0,26.861725593814025
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,0.4,10,7.0,6.4,12.444444444444445,7.0,1.882,10.0,0.023495678957175303,0.9464278262943938,0.24632648953301126,0.2384158902691511,0.019182598006332926,0.09221472125435537,0.012962755102040788,0.0,347.2986503011113
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,0.35,10,7.0,5.8,11.277777777777777,7.0,1.882,10.0,0.028572946212738235,0.8479877534811412,0.23016269642956297,0.22277118583565356,0.01877335131234675,0.10561825777888632,0.028607459535538345,0.0,355.5108769897764
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0625,24,2.0,2.0,3.888888888888889,7.0,1.882,10.0,0.2285875860359767,0.0,0.0,0.0,0.0,0.4032857142857143,0.0,0.06728571428571434,21.326383385241485
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.75,12,2.0,1.7,3.305555555555556,7.0,1.882,10.0,0.30980266975161547,0.0,0.0,0.0,0.0,0.48661926308985126,0.08540168067226891,0.1506192630898513,279.5362901206042
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.9166666666666666,12,2.0,1.4,2.722222222222222,7.0,1.882,10.0,0.44111084238872766,0.0,0.0,0.0,0.0,0.6064446831364124,0.20740408163265303,0.27044468313641246,296.09502589960346
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.875,12,2.0,1.1,2.138888888888889,7.0,1.882,10.0,0.6701878220052501,0.0,0.0,0.0,0.0,0.7926991926991926,0.39595324675324667,0.4566991926991927,280.89158001425494
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9583333333333334,12,2.0,0.8,1.5555555555555556,7.0,1.882,10.0,1.107166496763433,0.0,0.0,0.0,0.0,1.120238095238095,0.7259142857142855,0.7842380952380951,288.7462702264271
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,24,3.0,3.0,5.833333333333333,7.0,1.882,10.0,0.10481532152975861,0.1887421245968772,0.0692431561996779,0.06701946169772253,0.008808338187694534,0.24817582417582418,0.0,0.0,28.33221334599746
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.75,12,3.0,2.7,5.25,7.0,1.882,10.0,0.1286363501312956,0.083381608939051,0.03220611916264089,0.031171842650103507,0.004508967379486479,0.2822647169103861,0.035847619047619024,0.0,303.75601209388964
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.875,12,3.0,2.4,4.666666666666666,7.0,1.882,10.0,0.16147035518266575,0.0,0.0,0.0,0.0,0.32523041474654374,0.08065714285714283,0.0,311.41782391390416
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.7916666666666666,12,3.0,2.1,4.083333333333333,7.0,1.882,10.0,0.20840738355309427,0.0,0.0,0.0,0.0,0.38090740428402764,0.13826938775510209,0.044907404284027674,312.3788788292428
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.8333333333333334,12,3.0,1.8,3.5,7.0,1.882,10.0,0.2785923442350108,0.0,0.0,0.0,0.0,0.4556900726392251,0.21508571428571424,0.11969007263922515,323.2358903286226
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.0625,24,4.0,4.0,7.777777777777778,7.0,1.882,10.0,0.05962016441885881,0.4764241970486583,0.1525764895330112,0.14767660455486536,0.015494623289735351,0.1728367346938776,0.0,0.0,24.33984930203271
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,0.375,12,4.0,3.7,7.194444444444445,7.0,1.882,10.0,0.06951104310438115,0.3984626555789464,0.13230621926274097,0.12805729953556036,0.014208965400185123,0.19094214130710477,0.019619305019304988,0.0,303.70465134980265
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,0.5833333333333334,12,4.0,3.4,6.611111111111111,7.0,1.882,10.0,0.08206454509376791,0.31390526755088327,0.10845884247418767,0.10497576421873091,0.012428872870439605,0.212441991722062,0.04270084033613446,0.0,324.85475097955833
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,0.875,12,4.0,3.1,6.027777777777778,7.0,1.882,10.0,0.09832039643089004,0.22153194741986823,0.07999584437172091,0.07742683496961193,0.009891860592036622,0.23833679248601683,0.07024976958525343,0.0,290.9940884431004
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,0.75,12,4.0,2.8,5.444444444444444,7.0,1.882,10.0,0.11987387378254959,0.11974925310992582,0.04543363239015408,0.04397456373853884,0.006148786757933121,0.2700573979591837,0.10370204081632652,0.0,311.832394592211
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,5.0,5.0,9.72222222222222,7.0,1.882,10.0,0.03835610749931202,0.6995677483628678,0.2025764895330112,0.19607089026915106,0.017875663627694532,0.1290514285714286,0.0,0.0,26.98131931968276
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,0.75,12,5.0,4.4,8.555555555555555,7.0,1.882,10.0,0.049396539805274337,0.5717343768529831,0.17530376226028396,0.169674007152268,0.016708003393232796,0.15275974025974026,0.026396883116883086,0.0,346.23929639924023
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,0.6666666666666666,12,5.0,3.8,7.388888888888888,7.0,1.882,10.0,0.06595832609898827,0.4251309026611077,0.13941859479616908,0.13494126620900068,0.014682967721243483,0.18457012095456035,0.061129624060150385,0.0,332.9187112779733
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,1.882,10.0,0.02671193777927302,0.8818893051568225,0.23590982286634457,0.22833374741200824,0.01892812104483739,0.10082142857142856,0.0,0.0,23.17358734452904
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,0.25,12,6.0,5.7,11.083333333333334,7.0,1.882,10.0,0.02957706204911723,0.8305960107692721,0.22713789304178317,0.21984352184809847,0.018687630506024986,0.10815573966764042,0.00849022556390979,0.0,327.5115716318884
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,0.375,12,6.0,5.1,9.916666666666666,7.0,1.882,10.0,0.036879984487092676,0.7193703756590476,0.2064980581604622,0.19986652052125192,0.018019750550231244,0.1256831209304914,0.028467226890756304,0.0,325.9775493009612
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0,25,2.0,2.0,3.888888888888889,7.0,1.882,10.0,0.2285875860359767,0.0,0.0,0.0,0.0,0.4032857142857143,0.0,0.06728571428571434,21.0816115902099
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0,1.882,10.0,0.30980266975161547,0.0,0.0,0.0,0.0,0.48661926308985126,0.08540168067226891,0.1506192630898513,275.40005648617307
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,12,2.0,1.4,2.722222222222222,7.0,1.882,10.0,0.44111084238872766,0.0,0.0,0.0,0.0,0.6064446831364124,0.20740408163265303,0.27044468313641246,288.1027891250351
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.8461538461538461,13,2.0,1.1,2.138888888888889,7.0,1.882,10.0,0.6701878220052501,0.0,0.0,0.0,0.0,0.7926991926991926,0.39595324675324667,0.4566991926991927,270.34618878950744
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,12,2.0,0.8,1.5555555555555556,7.0,1.882,10.0,1.107166496763433,0.0,0.0,0.0,0.0,1.120238095238095,0.7259142857142855,0.7842380952380951,278.2033667923911
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0,25,3.0,3.0,5.833333333333333,7.0,1.882,10.0,0.10481532152975861,0.1887421245968772,0.0692431561996779,0.06701946169772253,0.008808338187694534,0.24817582417582418,0.0,0.0,29.086950679756885
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.6538461538461539,13,3.0,2.7,5.25,7.0,1.882,10.0,0.1286363501312956,0.083381608939051,0.03220611916264089,0.031171842650103507,0.004508967379486479,0.2822647169103861,0.035847619047619024,0.0,305.0711760627081
