video,p,n,deficit_max,distance,ttc_true,dv_kph,cp,lcd,ttc_start,gap_trace,vrel_trace,p_lane_end,a_req
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,0.0,21,1033.5053644621973,3.888888888888889,2.0,7.0,CP1,2.0,2.0,5.61599999999997,1.8049999999999997,0.0,0.48611111111111116
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,0.9545454545454546,11,7079.025514225905,3.305555555555556,1.7,7.0,CP2,2.0,2.0,5.0539999999999585,1.818999999999999,1.0,0.5718954248366014
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,0.85,10,7079.025514225905,2.722222222222222,1.4,7.0,CP3,2.0,2.0,4.480999999999979,1.815999999999999,1.0,0.6944444444444445
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,1.0,11,7347.761751706672,2.138888888888889,1.1,7.0,CP4,2.0,2.0,3.912999999999996,1.8129999999999988,1.0,0.8838383838383839
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,0.85,10,7347.761751706672,1.5555555555555556,0.8,7.0,CP5,2.0,2.0,3.3389999999999835,1.811,1.0,1.215277777777778
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,0.023809523809523808,21,1033.5053644620423,5.833333333333333,3.0,7.0,CP1,2.0,3.0,7.569000000000002,1.8049999999999997,0.0,0.3240740740740741
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,0.8181818181818182,11,6696.917982603075,5.25,2.7,7.0,CP2,2.0,3.0,7.0060000000000136,1.818999999999999,1.0,0.360082304526749
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,0.75,10,6696.917982603075,4.666666666666666,2.4,7.0,CP3,2.0,3.0,6.43800000000003,1.6709999999999994,1.0,0.40509259259259267
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,0.9545454545454546,11,7018.9145252228745,4.083333333333333,2.1,7.0,CP4,2.0,3.0,5.87999999999998,1.8099999999999987,1.0,0.46296296296296297
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,0.8,10,7018.9145252228745,3.5,1.8,7.0,CP5,2.0,3.0,5.305999999999968,1.811,1.0,0.5401234567901235
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,0.0,21,991.9828671669591,7.777777777777778,4.0,7.0,CP1,2.0,4.0,9.309999999999988,1.8049999999999997,0.0,0.24305555555555558
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,0.8636363636363636,11,5347.9403237757415,7.194444444444445,3.7,7.0,CP2,2.0,4.0,8.739000000000019,1.818999999999999,1.0,0.2627627627627628
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,0.7,10,5450.713741168732,6.611111111111111,3.4,7.0,CP3,2.0,4.0,8.171000000000035,1.6709999999999994,1.0,0.2859477124183007
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,0.8181818181818182,11,6455.545624709077,6.027777777777778,3.1,7.0,CP4,2.0,4.0,7.597000000000022,1.8129999999999988,1.0,0.31362007168458783
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,0.85,10,6532.034410554794,5.444444444444444,2.8,7.0,CP5,2.0,4.0,7.028999999999981,1.8099999999999987,1.0,0.34722222222222227
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,0.0,11,1005.6933146023938,9.72222222222222,5.0,7.0,CP1,2.0,5.0,11.31599999999996,1.8049999999999997,0.0,0.19444444444444448
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,0.8181818181818182,11,4864.094977142895,9.13888888888889,4.7,7.0,CP2,2.0,5.0,10.743999999999957,1.8369999999999997,1.0,0.20685579196217496
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,0.8636363636363636,11,5918.046503488851,7.972222222222221,4.1,7.0,CP4,2.0,5.0,9.602999999999994,1.8129999999999988,1.0,0.23712737127371278
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,0.0,10,1033.5053644621973,13.61111111111111,7.0,7.0,CP1,2.0,7.0,15.180999999999969,1.8049999999999997,0.0,0.1388888888888889
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,0.4,10,4724.035551924946,12.444444444444445,6.4,7.0,CP3,2.0,7.0,14.052000000000007,1.815999999999999,1.0,0.15190972222222224
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,0.35,10,5073.66567698928,11.277777777777777,5.8,7.0,CP5,2.0,7.0,12.913999999999973,1.8099999999999987,1.0,0.16762452107279696
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,0.0625,24,1033.5053644621973,3.888888888888889,2.0,7.0,CP1,3.0,2.0,5.465999999999993,1.657,0.0,0.48611111111111116
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,0.75,12,6141.093215446414,3.305555555555556,1.7,7.0,CP2,3.0,2.0,4.903000000000005,1.8249999999999993,0.9664906105429447,0.5718954248366014
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,0.9166666666666666,12,7121.5616465554085,2.722222222222222,1.4,7.0,CP3,3.0,2.0,4.343000000000003,1.811,0.9978319726338282,0.6944444444444445
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,0.875,12,7299.899077556313,2.138888888888889,1.1,7.0,CP4,3.0,2.0,3.7840000000000336,1.8099999999999987,0.9992862230536762,0.8838383838383839
