video,cp,dg_menu,best,dg_steer,best_steer,dg_planner,eps_continue,a_first,omega_max,steers,brakes
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,151230.9814042552,brake,157375.70201373065,steer,384652.58447125065,450621.0358996808,0.09960899138779433,0.20324899994506498,True,False
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,149060.045483447,brake,156369.77673623536,steer,381133.01983180945,450018.3531158238,0.5921091637800824,0.203799348919384,True,False
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,151033.79026591626,brake,158558.48593190717,steer,387099.6425218088,450020.7300312857,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,19564.29619332358,ease_off,19564.29619332358,ease_off,386871.6632471976,450020.7300312857,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,151283.02234350142,brake,156553.71786214315,steer,382804.80533697316,454057.4164120626,-0.1,0.17235574683347038,True,False
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,152550.17991475918,brake,159757.6044059707,steer,380277.42995909945,455333.72540854383,1.451131147841385,0.22082301732733775,True,False
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,24390.99319268362,ease_off,24390.99319268362,ease_off,387077.29644603096,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,137664.83011560986,ease_off,137664.83011560986,ease_off,387139.4726118354,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,143085.21242884744,brake,148451.48851118627,steer,387253.46224914107,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,9473.417897457037,ease_off,10539.309541324126,steer,386844.594440188,450020.5779338239,0.4142368022403673,0.25586155058765725,True,False
