video,cp,p_change,C_0,a_0,none_0,cont_0,p_collide_continue,C_0.01,a_0.01,none_0.01,cont_0.01,C_0.05,a_0.05,none_0.05,cont_0.05,C_0.1,a_0.1,none_0.1,cont_0.1,C_0.2,a_0.2,none_0.2,cont_0.2,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,762.8687500000001,1.75,False,False,0.805,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.9583333333333334,12,3.0,2.4,4.666666666666666,7.0
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,762.8687500000001,1.75,False,False,0.785,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.10000000000005,1.0,False,False,140.11875000000003,0.75,False,False,0.8461538461538461,13,3.0,2.1,4.083333333333333,7.0
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,996.4,2.0,False,False,0.86,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,0.9583333333333334,12,3.0,1.8,3.5,7.0
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,140.11875000000003,0.75,False,False,0.045,62.27500000000001,0.5,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,0.0,False,True,0.02,25,4.0,4.0,7.777777777777778,7.0
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,1.0,762.8687500000001,1.75,False,False,0.685,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,140.11874999999998,0.75,False,False,0.5769230769230769,13,4.0,3.7,7.194444444444445,7.0
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,1.0,762.8687500000001,1.75,False,False,0.71,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,140.11874999999998,0.75,False,False,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1.0,762.8687500000001,1.75,False,False,0.74,560.475,1.5,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1.0,762.8687500000001,1.75,False,False,0.76,560.475,1.5,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,62.275,0.5,False,False,0.04,62.275,0.5,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,0.0,False,True,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,1.0,560.475,1.5,False,False,0.49,389.21875,1.25,False,False,140.11875000000003,0.75,False,False,62.27500000000001,0.5,False,False,62.27500000000001,0.5,False,False,0.4583333333333333,12,6.0,5.4,10.5,7.0
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,1.0,560.475,1.5,False,False,0.62,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,62.275,0.5,False,False,0.03,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,0.0,False,True,0.0384615384615384,13,7.0,7.0,13.61111111111111,7.0
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,1.0,560.475,1.5,False,False,0.37,389.21875,1.25,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,15.568750000000001,0.25,False,False,0.3076923076923077,13,7.0,6.7,13.02777777777778,7.0
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,1.0,560.475,1.5,False,False,0.44,389.21875,1.25,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,62.275,0.5,False,False,0.5769230769230769,13,7.0,6.1,11.86111111111111,7.0
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,560.475,1.5,False,False,0.085,389.21875,1.25,False,False,140.11875000000003,0.75,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0769230769230769,26,2.0,2.0,7.777777777777778,14.0
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,1556.875,2.5,False,False,0.98,1261.06875,2.25,False,False,762.8687500000001,1.75,False,False,762.8687500000001,1.75,False,False,560.475,1.5,False,False,0.9230769230769232,13,2.0,1.7,6.611111111111111,14.0
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,1883.8187500000004,2.75,False,False,0.995,1556.875,2.5,False,False,996.4000000000002,2.0,False,False,762.8687500000001,1.75,False,False,762.8687500000001,1.75,False,False,1.0,13,2.0,1.4,5.444444444444444,14.0
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,2241.9000000000005,3.0,False,False,1.0,1883.8187500000004,2.75,False,False,1261.06875,2.25,False,False,996.4000000000002,2.0,False,False,996.4000000000002,2.0,False,False,0.9230769230769232,13,2.0,1.1,4.277777777777778,14.0
