video,cp,p_change,share_in_path,eps_in_path,eps_none,eps_continuous,price,a_star,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,280.89158001425494,288.578453959476,283.2841611077666,0.0,3.75,0.875,12,2.0,1.1,2.138888888888889,7.0
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,288.7462702264271,293.32496501435804,289.86847112725707,0.0,7.0,0.9583333333333334,12,2.0,0.8,1.5555555555555556,7.0
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,28.33221334599746,93782.13719989242,28.527461259868772,0.0,1.0,0.0416666666666666,24,3.0,3.0,5.833333333333333,7.0
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,303.75601209388964,305.9268061817626,304.9098885464208,0.0,2.25,0.75,12,3.0,2.7,5.25,7.0
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,311.41782391390416,313.44887726145146,313.20586855676186,0.0,2.5,0.875,12,3.0,2.4,4.666666666666666,7.0
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,312.3788788292428,313.6887725251455,313.58125555951744,0.0,2.75,0.7916666666666666,12,3.0,2.1,4.083333333333333,7.0
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,323.2358903286226,323.9492178098935,323.93569683431156,0.0,5.0,0.8333333333333334,12,3.0,1.8,3.5,7.0
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,0.085,24.33984930203271,80110.84179853619,24.37893896565898,0.0,1.0,0.0625,24,4.0,4.0,7.777777777777778,7.0
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,1.0,1.0,303.70465134980265,303.9266688071285,303.91913974877485,0.0,1.75,0.375,12,4.0,3.7,7.194444444444445,7.0
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,1.0,1.0,324.85475097955833,325.1062242347737,325.1061667366609,0.0,2.0,0.5833333333333334,12,4.0,3.4,6.611111111111111,7.0
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1.0,1.0,290.9940884431004,291.07901251168465,291.07901251168465,0.0,2.0,0.875,12,4.0,3.1,6.027777777777778,7.0
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1.0,1.0,311.832394592211,311.94085203684887,311.94085203684887,0.0,2.75,0.75,12,4.0,2.8,5.444444444444444,7.0
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,26.98131931968276,89035.69955023716,26.992269126986244,0.0,0.75,0.0416666666666666,12,5.0,5.0,9.72222222222222,7.0
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,346.23929639924023,346.2780669526656,346.2780669526656,0.0,1.75,0.75,12,5.0,4.4,8.555555555555555,7.0
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,332.9187112779733,332.92204443699046,332.92204443699046,0.0,2.0,0.6666666666666666,12,5.0,3.8,7.388888888888888,7.0
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,23.17358734452904,3616041.9758629524,23.17574045732602,0.0,0.75,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,327.5115716318884,327.51512126288907,327.51512126288907,0.0,1.75,0.25,12,6.0,5.7,11.083333333333334,7.0
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,325.97754930096113,325.97755790717605,325.97755790717605,0.0,1.75,0.375,12,6.0,5.1,9.916666666666666,7.0
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,21.0816115902099,42754.453931873315,21.62615662796681,0.0,1.25,0.0,25,2.0,2.0,3.888888888888889,7.0
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,275.40005648617307,288.47593316173396,267.15516081489216,0.0,2.5,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,288.1027891250351,303.11227615307655,279.70231121629774,0.0,2.75,1.0,12,2.0,1.4,2.722222222222222,7.0
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,270.34618878950744,283.48051337646825,267.8677557859355,0.0,3.0,0.8461538461538461,13,2.0,1.1,2.138888888888889,7.0
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,278.2033667923911,291.37633005362954,274.07916282051826,0.0,5.75,1.0,12,2.0,0.8,1.5555555555555556,7.0
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,29.086950679756885,38856.49722372182,29.28355656351888,0.0,1.0,0.0,25,3.0,3.0,5.833333333333333,7.0
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,305.0711760627081,307.5681216537006,306.1463292119596,0.0,2.25,0.6538461538461539,13,3.0,2.7,5.25,7.0
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,304.2396636062908,307.00718012311876,306.38954652170304,0.0,2.25,0.9583333333333334,12,3.0,2.4,4.666666666666666,7.0
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,271.01721489725185,272.470033383319,272.26579538091045,0.0,2.25,0.8461538461538461,13,3.0,2.1,4.083333333333333,7.0
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,311.3208293682743,313.565062582293,313.28508946138635,0.0,3.75,0.9583333333333334,12,3.0,1.8,3.5,7.0
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,0.085,24.123651470139418,41735.06579695256,24.144677373370676,0.0,0.75,0.02,25,4.0,4.0,7.777777777777778,7.0
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,1.0,1.0,330.67512941436036,331.1157071811284,331.0716361792583,0.0,1.75,0.5769230769230769,13,4.0,3.7,7.194444444444445,7.0
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,1.0,1.0,340.685095480227,341.02776813653844,341.0235957659333,0.0,2.0,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1.0,1.0,326.1478391421035,326.48452262317113,326.4824729048845,0.0,2.0,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1.0,1.0,310.75368488353706,311.04224054535683,311.04224054535683,0.0,2.25,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,25.445735287054234,190729.42845291362,25.449137976295948,0.0,0.75,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,346.7714802487034,346.7754124761016,346.7754124761016,0.0,1.75,0.4583333333333333,12,6.0,5.4,10.5,7.0
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,330.34661516572635,330.3477732775507,330.3477732775507,0.0,1.75,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,27.779567470994444,2223332.553717451,27.780869911216172,0.0,0.75,0.0384615384615384,13,7.0,7.0,13.61111111111111,7.0
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,281.3107542091503,281.31290717898145,281.31290717898145,0.0,1.75,0.3076923076923077,13,7.0,6.7,13.02777777777778,7.0
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,334.9519080905235,334.95226316873993,334.95226316873993,0.0,1.75,0.5769230769230769,13,7.0,6.1,11.86111111111111,7.0
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,59.55692345980287,54315.729383508544,56.566906488947325,0.0,2.5,0.0769230769230769,26,2.0,2.0,7.777777777777778,14.0
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,667.0631898881412,693.2109005328894,637.7439369622496,0.0,4.25,0.9230769230769232,13,2.0,1.7,6.611111111111111,14.0
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,766.9391694828197,783.2443323741215,753.2066083366906,0.0,7.0,1.0,13,2.0,1.4,5.444444444444444,14.0
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,713.0027792111629,715.7956954764494,707.0613740185273,0.9188117178615722,8.0,0.9230769230769232,13,2.0,1.1,4.277777777777778,14.0
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,726.4032867797471,726.4032867797471,723.7066743057496,3.469753975239323,8.0,1.0,13,2.0,0.8,3.111111111111111,14.0
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,53.75691193662724,1356364.891808649,54.22898609702517,0.0,2.0,0.0576923076923076,26,3.0,3.0,11.666666666666666,14.0
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,736.5209515543839,741.0317749525052,740.8473234793396,0.0,3.25,0.9615384615384616,13,3.0,2.7,10.5,14.0
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,824.1010535015654,826.9376418996392,826.878209394261,0.0,5.75,0.8076923076923077,13,3.0,2.4,9.333333333333332,14.0
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,738.2930006671661,738.7396099066026,738.7396099066026,0.02888509589478871,8.0,0.9230769230769232,13,3.0,2.1,8.166666666666666,14.0
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,742.994690853066,742.994690853066,742.994690853066,0.18039753861236624,8.0,0.8846153846153846,13,3.0,1.8,7.0,14.0
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,51.39580400840727,9895224.53684778,51.5069366156002,0.0,1.5,0.0192307692307692,26,4.0,4.0,15.555555555555555,14.0
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,776.2441971252177,777.0325908626867,777.0325908626867,0.0,2.75,0.6923076923076923,13,4.0,3.7,14.38888888888889,14.0
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,730.0038083709295,730.5177989135077,730.5177989135077,0.0,3.75,0.4615384615384615,13,4.0,3.4,13.22222222222222,14.0
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,779.7795252656202,779.8682460714256,779.8682460714256,0.0,7.25,0.8076923076923077,13,4.0,3.1,12.055555555555555,14.0
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,817.8564901138144,817.8564901138144,817.8564901138144,2.965203742266498e-05,8.0,0.6538461538461539,13,4.0,2.8,10.888888888888888,14.0
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,49.288207141264145,290726.7359107203,49.30617495340791,0.0,1.0,0.0,13,5.0,5.0,19.444444444444443,14.0
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,683.4738040091066,683.4914754530034,683.4914754530034,0.0,2.25,0.3076923076923077,13,5.0,4.4,17.11111111111111,14.0
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,798.4949736310662,798.4949736310662,798.4949736310662,0.0,4.75,0.4615384615384615,13,5.0,3.8,14.777777777777777,14.0
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,48.538765464448744,1450786.7157917276,48.5412025387404,0.0,1.0,0.1153846153846153,13,6.0,6.0,23.33333333333333,14.0
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,671.596085123993,671.5990858418062,671.5990858418062,0.0,2.0,0.4230769230769231,13,6.0,5.7,22.166666666666668,14.0
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,680.659259385571,680.659259385571,680.659259385571,0.0,2.0,0.5,13,6.0,5.1,19.83333333333333,14.0
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,0.085,52.62211847728389,898531.2685985256,52.177068681756026,0.0,2.5,0.0,24,2.0,2.0,7.777777777777778,14.0
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,1.0,1.0,665.3249261389836,696.1829459141602,607.7165946170107,0.0,3.75,0.6666666666666666,12,2.0,1.7,6.611111111111111,14.0
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,1.0,1.0,666.3717004702806,695.6317699948062,611.8006881079161,0.0,4.75,1.0,12,2.0,1.4,5.444444444444444,14.0
