criticality,timepoint,n,p,theta_dot,x_loom,w_gate,w_gate_f,l0,ldot,deficit
TTC4,C1,172,0.12209302325581395,0.0423732201501238,-3.1612387165206073,0.07398121770785494,0.07398121770785494,1.6150072813034066,-0.011236270268755151,0.9823961959003448
TTC4,C2,172,0.3023255813953488,0.05186180191349243,-2.9591727537464982,0.36760735149720636,0.499149131885484,1.4819258451461792,-0.3327035903930698,4578.4749876526375
TTC4,C3,172,0.7325581395348837,0.06222983085772422,-2.776920798422956,0.9653631961280875,0.9660909212836492,1.1963915824890137,-0.9486188128145028,6342.597239402866
TTC4,C4,172,0.7674418604651163,0.07543985639227611,-2.584419544260601,0.9994621665257049,0.9999976167227385,0.7871817350387573,-1.291810572147374,6512.701883246249
TTC4,C5,172,0.8662790697674418,0.09346771911691541,-2.370139152386494,0.9999995133997159,0.9999995133997159,0.2884368896484375,-1.662482817967729,6672.176568418105
TTC4,C6,172,0.9186046511627907,0.1185809745452482,-2.1321592222744825,0.9999999961947302,0.999999996579701,-0.24577045440673828,-1.7747752294191772,6839.165713513329
TTC6,C1,172,0.06976744186046512,0.01898179386487647,-3.964274976837781,0.07541582644290795,0.07541582644290795,1.614092230796814,-0.014286041259765592,1.5668234371196574
TTC6,C2,172,0.09302325581395349,0.021834352476339653,-3.824270747792806,0.44235563889133184,0.5977841217581231,1.4586166143417358,-0.3886890411376967,4901.666732471771
TTC6,C3,172,0.3081395348837209,0.024346998885652782,-3.7153466860984934,0.9639620214620092,0.9647040801517753,1.1768320798873901,-0.9361612440343706,5112.748852153159
TTC6,C4,172,0.45348837209302323,0.027435706454829397,-3.5959099586722587,0.9996421638230594,0.999998802010783,0.7591837644577026,-1.3199508190155076,5312.1895353810705
TTC6,C5,172,0.5116279069767442,0.03112430836447546,-3.469766145665832,0.999999580093906,0.999999580093906,0.2603832483291626,-1.6626683870951295,5521.793353092924
TTC6,C6,172,0.7965116279069767,0.03564642116660717,-3.3341065251945077,0.9999999976017192,0.9999999978491769,-0.2782365083694458,-1.7894344076365614,5711.709049580818
TTC8,C1,172,0.05232558139534884,0.010725722946882125,-4.535110408805152,0.08286560513115343,0.08286560513115354,1.6095428466796875,-0.029450654983520442,1.3475174912459114
TTC8,C2,172,0.06976744186046512,0.011897204763843271,-4.431451800251205,0.5764337673246005,0.5783915293723796,1.443699836730957,-0.4951835074694051,3157.3055589785436
TTC8,C3,172,0.21511627906976744,0.012915080974515651,-4.349359582650221,0.9627109831259973,0.9966568813990292,1.1429976224899292,-0.9197393059730561,3482.739833396584
TTC8,C4,172,0.27325581395348836,0.014065275706002101,-4.264046234957139,0.999879405713081,0.999879405713081,0.7222046852111816,-1.4026431242624886,3775.3333839995075
TTC8,C5,172,0.36627906976744184,0.015396043723307835,-4.173644703651196,0.999999769886898,0.9999997895147025,0.2147651910781856,-1.6858454954584674,4057.936829154498
TTC8,C6,172,0.36627906976744184,0.016901754597777006,-4.080337840088608,0.9999999976800562,0.9999999976800562,-0.31857728958129883,-1.777808268864944,4315.302788155291
