Exp_Subject_Id,cutin_post_onset_repetition_effect,ltap_late_minus_early
1397593,0.08333333333333333,
1397597,0.125,
1397598,0.041666666666666664,
1397599,0.125,
1397602,-0.125,
1397606,0.041666666666666664,
1397616,0.0,
1397620,0.125,
1397633,0.125,
1397642,0.16666666666666666,
1397643,0.08333333333333333,
1397644,0.041666666666666664,
1397645,0.0,
1397649,0.08333333333333333,
1397651,0.0,
1397652,-0.08333333333333333,
1397654,0.041666666666666664,
1397665,0.125,
1397702,0.041666666666666664,
1397708,-0.125,
1397998,-0.20833333333333334,
1398039,-0.041666666666666664,
1398040,-0.20833333333333334,
1398041,-0.041666666666666664,
1398042,0.25,
1398043,0.08333333333333333,
1398046,-0.041666666666666664,
1398047,0.08333333333333333,
1398048,-0.08333333333333333,
1398049,-0.041666666666666664,
1398050,0.08333333333333333,
1398051,0.0,
1398052,0.125,
1398053,-0.125,
1398054,0.08333333333333333,
1398055,-0.08333333333333333,
1398056,0.041666666666666664,
1398057,0.0,
1398058,0.125,
1398059,0.0,
1398060,0.041666666666666664,
1398061,0.16666666666666666,
1398062,0.125,
1398063,0.041666666666666664,
1398064,0.20833333333333334,
1398065,0.041666666666666664,
1398066,0.0,
1398067,-0.041666666666666664,
1398068,0.0,
1398074,0.041666666666666664,
1398077,-0.08333333333333333,
1398118,0.125,
1399210,0.08333333333333333,
1399211,0.041666666666666664,
1399213,0.125,
1399214,0.0,
1399216,0.0,
1399217,-0.041666666666666664,
1399218,0.16666666666666666,
1399219,0.08333333333333333,
1399220,-0.041666666666666664,
1399221,-0.08333333333333333,
1399222,0.125,
1399224,0.08333333333333333,
1399225,0.0,
1399228,0.0,
1399229,-0.125,
1399230,-0.041666666666666664,
1399231,0.2916666666666667,
1399237,-0.08333333333333333,
1399238,0.16666666666666666,
1399239,-0.041666666666666664,
1399242,0.041666666666666664,
1399244,0.0,
1399245,0.08333333333333333,
1399248,0.20833333333333334,
1399250,0.25,
1399251,-0.041666666666666664,
1399252,0.16666666666666666,
1399253,-0.041666666666666664,
1399259,-0.16666666666666666,
1399261,0.08333333333333333,
1399262,-0.041666666666666664,
1399263,0.041666666666666664,
1399264,-0.08333333333333333,
1399265,0.041666666666666664,
1399266,-0.041666666666666664,
1399267,-0.041666666666666664,
1399269,-0.16666666666666666,
1399271,0.0,
1399273,0.0,
1399274,0.0,
1399276,0.16666666666666666,
1399277,0.0,
1399278,0.0,
1399279,0.0,
1399282,-0.08333333333333333,
1399289,0.0,
1399290,-0.2916666666666667,
1399292,0.08333333333333333,
1399294,0.0,
1399295,0.0,
1399297,-0.125,
1399298,0.041666666666666664,
1399302,-0.041666666666666664,
1399304,0.16666666666666666,
1399305,0.041666666666666664,
1399309,0.2916666666666667,
1399321,0.125,
1399326,-0.16666666666666666,
1399339,0.041666666666666664,
1399341,-0.125,
1399343,0.125,
1399347,0.041666666666666664,
1399357,-0.16666666666666666,
1399363,-0.08333333333333333,
1399364,0.041666666666666664,
1399367,0.0,
1399369,0.08333333333333333,
1399370,0.041666666666666664,
1399377,0.08333333333333333,
1399444,0.16666666666666666,
1400739,-0.08333333333333333,
1400740,0.041666666666666664,
1400742,0.0,
1400743,0.3333333333333333,
1400744,0.0,
1400745,-0.16666666666666666,
1400746,0.25,
1400747,0.0,
1400749,-0.041666666666666664,
1400750,0.0,
1400751,0.16666666666666666,
1400752,0.0,
1400756,0.20833333333333334,
1400758,0.08333333333333333,
1400759,0.08333333333333333,
1400761,0.041666666666666664,
1400764,-0.041666666666666664,
1400767,0.0,
1400768,-0.08333333333333333,
1400773,0.16666666666666666,
1400779,0.0,
1400829,-0.041666666666666664,
1317363,,0.08333333333333333
1317367,,-0.05555555555555555
1317386,,-0.1388888888888889
1317403,,0.0
1331199,,-0.2222222222222222
1331200,,-0.16666666666666666
1331202,,-0.1111111111111111
1331203,,-0.25
1331204,,0.027777777777777776
1331205,,-0.027777777777777776
1331207,,-0.16666666666666666
1331209,,-0.05555555555555555
1331210,,0.05555555555555555
1331212,,-0.08333333333333333
1331213,,-0.16666666666666666
1331214,,-0.08333333333333333
1331216,,0.0
1331217,,-0.027777777777777776
1331219,,0.027777777777777776
1331222,,-0.08333333333333333
1331223,,-0.08333333333333333
1331224,,0.1111111111111111
1331225,,-0.25
1331227,,-0.19444444444444445
1331228,,-0.1111111111111111
1331229,,-0.08333333333333333
1331230,,-0.08333333333333333
1331231,,-0.1388888888888889
1331232,,-0.05555555555555555
1331233,,-0.16666666666666666
1331234,,0.027777777777777776
1331235,,-0.05555555555555555
1331236,,0.05555555555555555
1331237,,-0.05555555555555555
1331241,,0.0
1331242,,0.0
1331243,,-0.19444444444444445
1331244,,-0.1388888888888889
1331246,,-0.1388888888888889
1331247,,-0.2222222222222222
1331249,,-0.027777777777777776
1331252,,-0.1111111111111111
1331255,,0.0
