video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,l0,ldot,p_lead,expected_looming,pred_mixture,pred_expected
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0,21,2.0,2.0,3.888888888888889,7.0,0.22858758603597668,1.6260000000000001,0.003333333333334447,0.049213760811714385,0.01124965478370174,0.08176284396787746,0.2436005471974605
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,0.30980266975161547,1.3300000000000007,-0.9866666666666646,0.9501659335073478,0.2943639429076123,0.917556986139934,0.9444121972504734
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.85,10,2.0,1.4,2.722222222222222,7.0,0.44111084238872766,0.8720000000000006,-1.6933333333333334,0.9999893355486987,0.44110613818363054,0.9807704747618889,0.9697989087940905
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,11,2.0,1.1,2.138888888888889,7.0,0.6701878220052501,0.39800000000000035,-1.5800000000000007,0.9999942235418419,0.6701839506933381,0.9916895495836587,0.985090303915529
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.85,10,2.0,0.8,1.5555555555555556,7.0,1.107166496763433,-0.08100000000000063,-1.59666666666667,0.9999995677253504,1.1071660181634235,0.9973297898887223,0.9942332305694851
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,0.10481532152975863,1.6269999999999996,-2.960594732333751e-15,0.05014654965977478,0.005256126726197302,0.07704066894152811,0.11298723107132072
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.8181818181818182,11,3.0,2.7,5.25,7.0,0.1286363501312956,1.3319999999999996,-0.9833333333333332,0.9489066208073087,0.1220638843160735,0.8193923123127796,0.814211478450208
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.75,10,3.0,2.4,4.666666666666666,7.0,0.16147035518266575,0.8739999999999994,-1.6933333333333394,0.9999892389400007,0.16146861759048553,0.8960781314076072,0.8595694015705856
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,0.20840738355309427,0.39999999999999925,-1.5800000000000007,0.9999941696852653,0.20840616847245513,0.9266579343579918,0.8938017939375686
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.8,10,3.0,1.8,3.5,7.0,0.2785923442350108,-0.08399999999999985,-1.6133333333333304,0.9999996716286593,0.2785922527532692,0.9525222039615786,0.9248965095530485
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0,21,4.0,4.0,7.777777777777778,7.0,0.059620164418858826,1.6289999999999993,0.0033333333333285253,0.04890592849595861,0.0029157794979860056,0.06967188026026902,0.05365604713625967
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,0.06951104310438115,1.2409999999999994,-1.293333333333333,0.9961580928202879,0.06924398812880915,0.7347105067743026,0.7032658605618642
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.7,10,4.0,3.4,6.611111111111111,7.0,0.08206454509376793,0.7850000000000008,-1.6866666666666645,0.9999921340094402,0.08206389957483093,0.7761907788652408,0.7414944163480232
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,0.09832039643089004,0.3050000000000004,-1.6000000000000014,0.9999971926735736,0.09832012041344287,0.8144556499539255,0.7791736962132055
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.85,10,4.0,2.8,5.444444444444444,7.0,0.11987387378254959,-0.19100000000000006,-1.83333333333333,0.9999999954976643,0.11987387324283716,0.8514595007214615,0.8166304434950635
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,11,5.0,5.0,9.72222222222222,7.0,0.038356107499312016,1.6300000000000006,2.960594732333751e-15,0.0498340664926506,0.0019114408115199692,0.06409265631847741,0.028929935928680282
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0,0.0433558955937676,1.2420000000000007,-1.293333333333333,0.9961465351299937,0.04318882517318936,0.6033607626297423,0.58248050393266
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0,0.05678680578500393,0.3010000000000008,-1.596666666666664,0.9999971108527652,0.05678664171956103,0.6815715389539491,0.6537031746086733
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0,10,7.0,7.0,13.61111111111111,7.0,0.019658808323100543,1.6330000000000007,0.003333333333334447,0.0484978808546927,0.0009534105437989713,0.05392512174753275,0.008931390081756621
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,0.4,10,7.0,6.4,12.444444444444445,7.0,0.0234956789571753,0.7830000000000001,-1.6800000000000015,0.999991460094529,0.02349547830629803,0.4218931718893517,0.420789568176091
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,0.35,10,7.0,5.8,11.277777777777777,7.0,0.028572946212738235,-0.18100000000000027,-1.8399999999999987,0.999999995758924,0.028572946091558197,0.4788941791620361,0.4734448832918709
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0625,24,2.0,2.0,3.888888888888889,7.0,0.22858758603597668,1.6259999999999992,0.0033333333333285253,0.04921376081171632,0.011249654783702183,0.08176284396787921,0.24360054719746888
