criticality,timepoint,p,n,x_rel,y_rel,v_ego,v_oth,gap_m,dv,theta_dot
TTC4,C1,0.12209302325581395,172.0,15.673416137695312,3.4966292381286648,30.545324325561563,27.765987173407648,10.665590763092041,2.7793371521539143,0.04561814390952984
TTC4,C2,0.3023255813953488,172.0,14.283973693847656,3.283164024353029,30.54537200927735,27.76584563069684,9.276148319244385,2.7795263785805098,0.06016213452659223
TTC4,C3,0.7325581395348837,172.0,13.722808837890625,3.078013539314272,30.544485092163097,27.76509726168536,8.714983463287354,2.779387830477738,0.0680638365369066
TTC4,C4,0.7674418604651163,172.0,12.876602172851562,2.6688036918640154,30.54467773437502,27.76533054420109,7.86877679824829,2.779347190173933,0.083271492628138
TTC4,C5,0.8662790697674418,172.0,12.024322500524484,2.170058897678971,30.54363441467292,27.76449208009917,7.016497125921211,2.7791423345737485,0.10434308334554054
TTC4,C6,0.9186046511627907,172.0,11.177680969238281,1.6358515024185194,30.544260025024418,27.765078927066973,6.169855594635009,2.7791810979574443,0.13425075747629367
TTC6,C1,0.06976744186046512,172.0,21.174694061279297,3.495714187622073,30.5430431365968,27.764043284165123,16.166868686676025,2.778999852431678,0.019938882520352582
TTC6,C2,0.09302325581395349,172.0,20.04665753353094,3.3402387435614447,30.529733657837564,27.75215823071592,15.038832158927669,2.7775754271216435,0.023018322515289565
TTC6,C3,0.3081395348837209,172.0,19.229900360107422,3.0584540367126487,30.54517173767091,27.765735449293015,14.22207498550415,2.7794362883778945,0.025743455097436432
TTC6,C4,0.45348837209302323,172.0,18.37796401977539,2.640805721282961,30.54408645629888,27.764830274259943,13.37013864517212,2.7792561820389388,0.029110123449703974
TTC6,C5,0.5116279069767442,172.0,17.531776428222656,2.142005205154421,30.543910980224695,27.76474272246687,12.523951053619385,2.7791682577578243,0.033152828548585644
TTC6,C6,0.7965116279069767,172.0,16.679183959960938,1.6033854484558125,30.543766021728526,27.764656340284173,11.671358585357666,2.7791096814443534,0.03814015320995614
TTC8,C1,0.05232558139534884,172.0,26.665019989013672,3.491164803504947,30.544982910156264,27.765666891622928,21.6571946144104,2.7793160185333363,0.011128768525380403
TTC8,C2,0.06976744186046512,172.0,25.548824295919196,3.3253219040665543,30.543478012084968,27.76411672746088,20.540998921315925,2.7793612846240876,0.012368702758787846
TTC8,C3,0.21511627906976744,172.0,24.704788208007812,3.0246195793151887,30.54376602172856,27.76440437650247,19.69696283340454,2.779361645226089,0.013448976030851588
TTC8,C4,0.27325581395348836,172.0,23.863147735595703,2.603826642036441,30.543817520141687,27.764558200535514,18.85532236099243,2.7792593196061723,0.014672821205740915
TTC8,C5,0.36627906976744184,172.0,23.00942993979984,2.0963870583498987,30.543474197387702,27.7643620755952,18.00160456519657,2.779112121792501,0.016092792038432308
TTC8,C6,0.36627906976744184,172.0,22.168968200683594,1.5630446672439602,30.54540634155275,27.766060383994866,17.161142826080322,2.779345957557883,0.017704320704829326
