trace,pet,speed_kph,t_dec,d_onc,v_onc,tta,t_sep,theta_dot,w_onc,range_ego_onc,range_rate,theta_dot_ego,v_ego_dec,t_onset,v_ego_onset,v_ego_approach,t_in,t_out,x_conf,t_onc_arrival,dist_at_onset,tta_at_onset,yaw_span_ego_deg,yaw_span_onc_deg,p,n
IntersectionLeftTurnPET0,0.0,50,13.515,41.1843383560578,13.877845322002736,2.9676320351230445,0.7009999999999987,0.016409953996038642,2.006814479827881,55.382274156197,21.436261590273546,0.014020779757758596,7.609499248051436,14.016,6.775986281588212,13.878247788212429,15.317,15.818,1.3681550274292629,16.519,34.23043897251288,2.466586822817704,359.5614776611328,0.01901337504386902,0.8837209302325582,172
IntersectionLeftTurnPET0.5,0.5,50,13.515,49.005728324254356,13.877769974266036,3.531239414915159,1.4009999999999998,0.011591808020299618,2.006814479827881,62.498616820525726,21.398572734628885,0.010991052758178216,7.470436112270362,13.916,6.830701905199343,13.87828211504095,15.217,15.718,1.4575427373250325,17.119,43.44462831815084,3.1305355498128433,359.6399688720703,0.00013706088066101074,0.9069767441860465,172
IntersectionLeftTurnPET1,1.0,50,13.515,53.215324512549806,13.877605934111966,3.8346185044600114,1.7020000000000017,0.00983091561789374,2.006814479827881,66.67818628656045,21.42574752736118,0.009668905479199727,7.502687065808112,13.916,6.807846388006162,13.878229665495398,15.117,15.718,1.4563349400247847,17.42,47.65105067832129,3.4336622337425884,359.6336669921875,0.0001481175422668457,0.8197674418604651,172
IntersectionLeftTurnPET1.5,1.5,50,13.515,63.586438328027725,13.877601167128114,4.581947381413798,2.402000000000001,0.006886277133315537,2.006814479827881,77.05119271558338,21.461886063953273,0.007253418478743729,7.529343188549417,13.915,6.85668531694246,13.878231746481855,15.117,15.718,1.5816258490085602,18.12,58.03012195229531,4.181562315696378,359.63043212890625,0.0001232922077178955,0.6569767441860465,172
IntersectionLeftTurnPET2,2.0,50,13.515,70.5656210503408,13.877722284092716,5.0848128825309,2.9029999999999987,0.0055917954858787245,2.006814479827881,84.03499659262172,21.553965017786254,0.006124238737713564,7.559492938214005,13.916,6.861114087787922,13.878227107153483,15.117,15.718,1.5658973774739675,18.621,65.00685945366111,4.6842941277691645,359.6495666503906,0.0001137852668762207,0.6046511627906976,172
IntersectionLeftTurnPET2.5,2.5,50,13.515,81.14544179184097,13.877617377268052,5.847217111257124,3.705,0.004228900584846903,2.006814479827881,94.72630333491284,21.51063069635711,0.0048102811858311036,7.581437368739456,14.016,6.746142325737979,13.878229661363848,15.117,15.717,1.6915250037397658,19.422,74.20080067855972,5.346793923229906,359.6867218017578,0.002714782953262329,0.5058139534883721,172
IntersectionLeftTurnPET3,3.0,50,13.515,83.42481976747513,13.877663149674792,6.011445793698351,4.004,0.004001015103387749,2.006814479827881,96.62936581727689,21.345467888513213,0.004587201517236146,7.516662438583489,13.916,6.84344774559419,13.878238782250687,15.117,15.618,1.6761260628700256,19.622,77.86393719911575,5.610754569056741,359.5816192626953,0.00019922852516168765,0.4418604651162791,172
IntersectionLeftTurnPET3.5,3.5,50,13.515,92.12564763852528,13.877578275851926,6.6384527478278486,4.504999999999999,0.0032810155337098046,2.006814479827881,105.70296952992314,21.567840652254176,0.003873471658317999,7.570437503646343,14.016,6.750698409799605,13.878237296899472,15.117,15.718,1.680085037435804,20.223,85.17870244809559,6.137845206607247,359.6800079345703,0.000152587890625,0.3372093023255814,172
IntersectionLeftTurnPET4,4.0,50,13.515,98.19991253955024,13.87761833188407,7.076135846302548,4.905000000000001,0.002887716948676041,2.006814479827881,111.50813989104945,21.244476730623433,0.0034285063421826824,7.556560356953247,14.016,6.70888815524067,13.878231636298796,15.117,15.718,2.0133449946131026,20.623,91.26073407275337,6.576107428423788,359.7227020263672,0.0001575946807860773,0.2558139534883721,172
IntersectionLeftTurnPET0-70kph,0.0,70,13.515,55.39522775581905,19.437755694794077,2.849877764985764,0.6999999999999993,0.012707677098595757,2.006814479827881,68.74387739685538,26.14091055602381,0.01109857882797027,7.377535180478204,13.916,6.823619989051206,13.879019783733655,15.117,15.718,1.6300850766045707,16.418,47.6417487519128,2.4509844296852537,359.6045227050781,1.147998422384262,0.7965116279069767,172
IntersectionLeftTurnPET0.5-70kph,0.5,70,13.515,68.4836511015892,19.4378033767784,3.5232196650061804,1.5020000000000007,0.00831548101944114,2.006814479827881,81.52713471219316,26.176234726643713,0.007902131685638575,7.506827478491144,13.916,6.751603205419131,13.879016594209657,15.117,15.618,1.7176386713981628,17.12,60.82973951101303,3.1294551085739273,359.5548553466797,0.0001525580883026123,0.7267441860465116,172
IntersectionLeftTurnPET1-70kph,1.0,70,13.515,78.94077368577321,19.43599897914303,4.061575315500138,2.0020000000000007,0.006258080922113585,2.006814479827881,92.18267141716602,27.017162393116962,0.0063796510764938365,7.529641699034083,13.916,6.877857337873225,13.878231392494794,15.117,15.618,1.7747749884923298,17.62,71.15889807542165,3.6611869932053254,359.62452697753906,0.0001150965690612793,0.6162790697674418,172
IntersectionLeftTurnPET1.5-70kph,1.5,70,13.516,87.67729777097702,19.437948338758662,4.510625105230433,2.5029999999999983,0.005073719573730389,2.006814479827881,100.37319856929484,26.945855507888268,0.005366860112558,7.325807876515955,13.916,6.589484594938755,13.87884098010335,15.017,15.618,1.8870620131492615,18.121,79.97342509031296,4.114412226912128,359.74327087402344,0.00014585256576538086,0.5,172
IntersectionLeftTurnPET2-70kph,2.0,70,13.515,101.57542251689094,19.43602186562936,5.226142634492339,3.003000000000002,0.0037800274350647755,2.006814479827881,115.70759734311108,27.04242995194511,0.004053185958898815,7.556087328986557,14.116,6.540574202927757,13.87821198081005,15.217,15.818,1.9671554480280196,18.821,89.91167282206672,4.626038152327145,359.7471160888672,0.00014695525169367007,0.36046511627906974,172
IntersectionLeftTurnPET2.5-70kph,2.5,70,13.515,109.44843330553599,19.435958921978735,5.631234030947071,3.604000000000001,0.003255799103237059,2.006814479827881,122.54146918784338,27.1262995219422,0.003624953961053031,7.589971477941277,14.016,6.739709829355991,13.8782250089861,15.017,15.618,2.1522084730012074,19.222,99.73285713366099,5.131344994183722,359.7010803222656,0.00018212199211115054,0.22674418604651161,172
IntersectionLeftTurnPET3-70kph,3.0,70,13.515,119.00282667364392,19.435911237248423,6.122832380793038,4.104000000000001,0.0027540175482055323,2.006814479827881,132.08937938910714,27.158536775835387,0.003123580721439373,7.574780141759247,14.016,6.740238151023952,13.87822586870009,15.017,15.618,2.175702793257577,19.722,109.27873609747205,5.622489680461612,359.70118713378906,0.00017601251602172852,0.12790697674418605,172
IntersectionLeftTurnPET3.5-70kph,3.5,70,13.515,128.2025676539966,19.4360256798696,6.5961308019251765,4.504999999999999,0.002372983073121694,2.006814479827881,141.19826131966178,27.03289271241374,0.002720940953071382,7.536277482269464,13.915,6.878937660166773,13.878228999895523,15.017,15.617,2.0151303580829074,20.122,120.42432363544194,6.195935365455172,359.6322326660156,0.00014412403106689453,0.11627906976744186,172
IntersectionLeftTurnPET4-70kph,4.0,70,13.515,138.17893719673157,19.436002790639996,7.109431845897649,5.2059999999999995,0.0020427140794547992,2.006814479827881,150.69725120279622,26.954408400568468,0.002381810004397457,7.535085147079407,13.916,6.829755792406226,13.878230430109355,14.917,15.518,2.490614891052246,20.724,130.38067364692688,6.708193566606366,359.6658477783203,0.00014141201972955875,0.11046511627906977,172
