trace,lcd,t_withdraw_own,t_surprise,latency_own,min_cross_straddle,v_straddle_min,v_straddle_max,min_cross_straddle_whole_trace,straddle_shown_s
LC_dv21_Tlc4p0_TTC02,4.0,16.333,15.4,0.932999999999998,,,,0.03162277660168379,0.0
LC_dv21_Tlc4p0_TTC03,4.0,16.333,15.4,0.932999999999998,,,,0.3067895747599515,0.0
LC_dv21_Tlc4p0_TTC04,4.0,16.3,15.4,0.9000000000000004,,,,1.0,0.0
LC_dv21_Tlc4p0_TTC06,4.0,16.333,15.367,0.9659999999999975,,,,1.0,0.0
LC_dv21_Tlc4p0_TTC07,4.0,16.367,15.433,0.934000000000001,,,,1.0,0.0
LC_dv28_Tlc2p0_TTC02,2.0,15.8,15.267,0.5330000000000013,1.0,1.5418518518518491,1.6251851851851902,1.0,0.49500000000000544
LC_dv28_Tlc2p0_TTC03,2.0,15.8,15.267,0.5330000000000013,1.0,1.531481481481479,1.6325925925925973,1.0,0.49500000000000544
LC_dv28_Tlc2p0_TTC04,2.0,15.8,15.267,0.5330000000000013,1.0,1.5403703703703653,1.6255555555555614,1.0,0.49500000000000544
LC_dv28_Tlc2p0_TTC05,2.0,15.8,15.267,0.5330000000000013,1.0,1.5418518518518463,1.625925925925932,1.0,0.49500000000000544
LC_dv28_Tlc2p0_TTC06,2.0,15.833,15.3,0.5329999999999995,1.0,1.5251851851851814,1.5522222222222164,1.0,0.13200000000000145
LC_dv28_Tlc3p0_TTC02,3.0,16.1,15.333,0.7670000000000012,1.0,1.0548148148148095,1.0618518518518498,0.03162277660168379,0.1650000000000018
LC_dv28_Tlc3p0_TTC03,3.0,16.067,15.333,0.734,1.0,1.054814814814811,1.072592592592596,1.0,0.23100000000000254
LC_dv28_Tlc3p0_TTC04,3.0,16.067,15.333,0.734,1.0,1.0522222222222208,1.0588888888888914,1.0,0.23100000000000254
LC_dv28_Tlc3p0_TTC06,3.0,16.133,15.4,0.7329999999999988,1.0,1.0581481481481518,1.0740740740740706,1.0,0.13200000000000145
LC_dv28_Tlc3p0_TTC07,3.0,16.067,15.333,0.734,,,,1.0,0.0
LC_dv28_Tlc4p0_TTC02,4.0,16.3,15.367,0.9329999999999998,,,,0.03162277660168379,0.0
LC_dv28_Tlc4p0_TTC03,4.0,16.367,15.433,0.934000000000001,,,,0.03162277660168379,0.0
LC_dv28_Tlc4p0_TTC04,4.0,16.333,15.4,0.932999999999998,,,,1.0,0.0
LC_dv28_Tlc4p0_TTC05,4.0,16.333,15.367,0.9659999999999975,,,,1.0,0.0
LC_dv28_Tlc4p0_TTC07,4.0,16.333,15.4,0.932999999999998,,,,1.0,0.0
LC_dv35_Tlc2p0_TTC02,2.0,15.833,15.3,0.5329999999999995,1.0,1.5048148148148124,1.621481481481479,1.0,0.4290000000000047
LC_dv35_Tlc2p0_TTC03,2.0,15.8,15.267,0.5330000000000013,1.0,1.5377777777777735,1.6151851851851904,1.0,0.49500000000000544
LC_dv35_Tlc2p0_TTC04,2.0,15.8,15.267,0.5330000000000013,1.0,1.538148148148145,1.6344444444444493,1.0,0.49500000000000544
LC_dv35_Tlc2p0_TTC05,2.0,15.833,15.3,0.5329999999999995,1.0,1.5355555555555516,1.5637037037037005,1.0,0.13200000000000145
LC_dv35_Tlc2p0_TTC07,2.0,15.833,15.267,0.5660000000000007,1.0,1.5522222222222193,1.6307407407407457,1.0,0.4620000000000051
LC_dv35_Tlc3p0_TTC02,3.0,16.067,15.333,0.734,1.0,1.051851851851848,1.069629629629633,0.03162277660168379,0.23100000000000254
LC_dv35_Tlc3p0_TTC03,3.0,16.1,15.333,0.7670000000000012,1.0,1.0570370370370346,1.0670370370370335,1.0,0.1650000000000018
LC_dv35_Tlc3p0_TTC04,3.0,16.067,15.333,0.734,1.0,1.045555555555555,1.0733333333333375,1.0,0.23100000000000254
LC_dv35_Tlc3p0_TTC05,3.0,16.067,15.3,0.7669999999999995,1.0,1.0566666666666646,1.067777777777784,1.0,0.23100000000000254
LC_dv35_Tlc3p0_TTC06,3.0,16.1,15.3,0.8000000000000007,,,,1.0,0.0
LC_dv35_Tlc4p0_TTC02,4.0,16.3,15.367,0.9329999999999998,,,,0.03162277660168379,0.0
LC_dv35_Tlc4p0_TTC03,4.0,16.333,15.367,0.9659999999999975,,,,0.03162277660168379,0.0
LC_dv35_Tlc4p0_TTC04,4.0,16.333,15.367,0.9659999999999975,,,,1.0,0.0
LC_dv35_Tlc4p0_TTC06,4.0,16.367,15.433,0.934000000000001,,,,1.0,0.0
LC_dv35_Tlc4p0_TTC07,4.0,16.367,15.4,0.9670000000000005,,,,1.0,0.0
LC_dv42_Tlc2p0_TTC02,2.0,15.833,15.3,0.5329999999999995,1.0,1.5481481481481467,1.6211111111111063,1.0,0.4290000000000047
LC_dv42_Tlc2p0_TTC03,2.0,15.8,15.267,0.5330000000000013,1.0,1.5374074074074051,1.6170370370370433,1.0,0.49500000000000544
LC_dv42_Tlc2p0_TTC04,2.0,15.8,15.267,0.5330000000000013,1.0,1.5359259259259215,1.6296296296296333,1.0,0.49500000000000544
LC_dv42_Tlc2p0_TTC05,2.0,15.833,15.267,0.5660000000000007,1.0,1.5399999999999956,1.6259259259259327,1.0,0.4620000000000051
LC_dv42_Tlc2p0_TTC06,2.0,15.833,15.267,0.5660000000000007,1.0,1.5540740740740684,1.5792592592592543,1.0,0.1650000000000018
LC_dv42_Tlc3p0_TTC02,3.0,16.067,15.333,0.734,1.0,1.0462962962962945,1.0677777777777795,0.03162277660168379,0.23100000000000254
LC_dv42_Tlc3p0_TTC03,3.0,16.067,15.333,0.734,1.0,1.0507407407407385,1.0748148148148153,1.0,0.23100000000000254
LC_dv42_Tlc3p0_TTC04,3.0,16.067,15.333,0.734,1.0,1.0514814814814781,1.054814814814816,1.0,0.23100000000000254
LC_dv42_Tlc3p0_TTC06,3.0,16.1,15.333,0.7670000000000012,1.0,1.0562962962962934,1.0629629629629687,1.0,0.19800000000000217
LC_dv42_Tlc3p0_TTC07,3.0,16.133,15.333,0.7999999999999989,,,,1.0,0.0
LC_dv42_Tlc4p0_TTC02,4.0,16.3,15.4,0.9000000000000004,,,,0.4144916323731135,0.0
LC_dv42_Tlc4p0_TTC03,4.0,16.333,15.4,0.932999999999998,,,,0.03162277660168379,0.0
LC_dv42_Tlc4p0_TTC04,4.0,16.333,15.367,0.9659999999999975,,,,1.0,0.0
LC_dv42_Tlc4p0_TTC05,4.0,16.367,15.4,0.9670000000000005,,,,1.0,0.0
LC_dv42_Tlc4p0_TTC07,4.0,16.367,15.4,0.9670000000000005,,,,1.0,0.0
