driver,level_tr1_gate_log,prior_log,prior_rad_s,level_cutin_log,level_ltap_pet_s
1317363,-4.000950479997648,-4.017145467898093,0.018004285467446184,-4.000950479997648,1.252731047001881
1317367,-4.4655312546595,-4.467511758930602,0.011475834998482618,-4.4655312546595,3.5553249558692124
1317386,-3.664790576255706,-3.6844450288700825,0.025111106796419626,-3.664790576255706,2.792423857538863
1317403,-3.691379420551086,-3.6903974118477256,0.024962079844533185,-3.691379420551086,4.616701089450078
1331199,-3.268653415914354,-3.2804666159366027,0.03761070295865464,-3.268653415914354,1.6641498250705975
1331200,-3.4267834764165164,-3.3969081271952866,0.033476615549499905,-3.4267834764165164,2.1772037684307186
1331202,-2.910721403056805,-2.922632930519888,0.05379187042792533,-2.910721403056805,1.2525106380454096
1331203,-3.1855251563043208,-3.19705611414274,0.040882380059710205,-3.1855251563043208,0.4418325727604435
1331204,-2.4331563963570706,-2.4422517245099518,0.08696481003491104,-2.4331563963570706,1.3424914252076026
1331205,-4.081306033768987,-4.118044007388019,0.01627631968745583,-4.081306033768987,3.496502082718993
1331207,-3.830997163599756,-3.8375270835470796,0.021546818999775404,-3.830997163599756,2.960358754176655
1331209,-4.654166116934937,-4.68380001793862,0.009243820378173655,-4.654166116934937,3.6093526536267495
1331210,-4.654069477666275,-4.684032135607257,0.009241674973141014,-4.654069477666275,3.663831151538357
1331212,-4.490192946320546,-4.516489533876075,0.010927316390592665,-4.490192946320546,2.5635795284535536
1331213,-4.10557842768262,-4.1196676418876494,0.016249914335405343,-4.10557842768262,3.9968066950832792
1331214,-3.240365780769097,-3.251022049070718,0.03873459893320663,-3.240365780769097,3.5372468539382163
1331216,-3.6824974588569632,-3.7009140570279935,0.02470093808232252,-3.6824974588569632,1.479129474511557
1331217,-2.0636583249330505,-2.0717250615206817,0.1259682911148211,-2.0636583249330505,-0.6592930270626017
1331219,-3.621861253242981,-3.6296537089963516,0.026525368315066328,-3.621861253242981,2.710692531308404
1331222,-1.3004294642400085,-1.3096519074626898,0.26991399508146213,-1.3004294642400085,-0.3303643744078286
1331223,-3.9856586742407583,-3.9973078892530465,0.018365013047555886,-3.9856586742407583,1.691948798082461
1331224,-4.283027716811155,-4.257192917602819,0.014162000568600565,-4.283027716811155,2.5729783199731653
1331225,-2.8706413239264728,-2.882531535606829,0.05599283540620411,-2.8706413239264728,1.8224338255027677
1331227,-3.5869620766156363,-3.601069824214659,0.027294506498135286,-3.5869620766156363,3.805800084119644
1331228,-3.5106629768490727,-3.53060146460216,0.029287295297083196,-3.5106629768490727,3.696891795579225
1331229,-2.87155272369364,-2.8838473928499653,0.05591920528216122,-2.87155272369364,1.6908433464451766
1331230,-2.8429189563838606,-2.8534957454517516,0.05764246487738372,-2.8429189563838606,0.8240985473604527
1331231,-2.7584401868181287,-2.760800312902943,0.0632411354045786,-2.7584401868181287,2.7867798210640857
1331232,-2.0495524275343135,-2.058344712976872,0.12766511750397086,-2.049552427534313,0.2395439109065961
1331233,-2.696671502749634,-2.6975551660996873,0.06737002007019169,-2.696671502749634,3.0774162457752485
1331234,-3.6486744964644644,-3.6585523019403885,0.025769792613602013,-3.648674496464464,1.7849627120547742
1331235,-3.685344818577882,-3.705227917573402,0.024594611184688787,-3.685344818577882,2.130488814704945
1331236,-3.2275118341156075,-3.2360900989504295,0.039317321799691975,-3.2275118341156075,0.9985278953007538
1331237,-4.412509872887024,-4.421009015769579,0.012022095678616887,-4.412509872887024,2.669105096421285
1331241,-3.962333742204955,-3.9691502335312414,0.01888947796199252,-3.962333742204955,4.38519068779262
1331242,-4.9085088196534485,-4.932005311349773,0.007212026412493173,-4.9085088196534485,4.616701089450078
1331243,-4.036044817554341,-4.050459500569476,0.017414370887430187,-4.036044817554341,2.4387515495566867
1331244,-3.283507360908369,-3.2944004222035463,0.037090276888160835,-3.283507360908369,2.783191665457527
1331246,-3.635002430730367,-3.645071849866461,0.02611953310153147,-3.635002430730367,1.2891324022169983
1331247,-2.972794126596513,-2.9798335644435814,0.05080128830200484,-2.972794126596513,0.6706765519169068
1331249,-2.3519936909780825,-2.3578029232040074,0.09462789973487094,-2.3519936909780825,1.3369171507421356
1331252,-4.633379973015674,-4.6569548511136265,0.009495333124666034,-4.633379973015674,3.6657156101213353
1331255,-2.4482843734611235,-2.4590258904368354,0.0855182145174132,-2.4482843734611235,-1.1564188436750769
