video,cp,vy_oth,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv42_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,-1.0483394118932658,0.8997435149709754,1.0,1.0,1.0,1.0,1.0,0.5,12,4.0,2.8,32.666666666666664,42.0,3.0,-3.884469014623358,0.9994616862397425
LC_dv42_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,-0.0015624426109687507,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0416666666666666,12,6.0,6.0,70.0,42.0,3.0,-5.408100364196231,0.0657669232431335
LC_dv42_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,-1.0213918021009742,0.8710778767406048,0.815,0.815,0.815,0.815,0.815,0.0,12,6.0,5.4,63.0,42.0,3.0,-5.19742171318497,0.9941356251246968
LC_dv42_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,-1.0633148065687081,0.9131757872034594,1.0,1.0,1.0,1.0,1.0,0.0416666666666666,12,6.0,4.8,55.99999999999999,42.0,3.0,-4.961914887642475,0.9995303115002806
LC_dv42_Tlc3p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,0.0025477480387547853,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0416666666666666,12,7.0,7.0,81.66666666666666,42.0,3.0,-5.7163537877864945,0.06322116574236226
LC_dv42_Tlc3p0_TTC07_CP2_S5p333_E15p333.mp4,CP2,-0.6648893199212165,0.16187169217188624,0.155,0.155,0.155,0.155,0.155,0.0,12,7.0,6.7,78.16666666666667,42.0,3.0,-5.6287606965334245,0.7567729333535345
LC_dv42_Tlc3p0_TTC07_CP4_S5p933_E15p933.mp4,CP4,-1.0448743917902719,0.8963916608152361,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,12,7.0,6.1,71.16666666666666,42.0,3.0,-5.441153092776717,0.9933898271860861
LC_dv42_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,-0.001569091928493486,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0625,24,2.0,2.0,23.33333333333333,42.0,4.0,-3.2123201653055604,0.07027615797873049
LC_dv42_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,-0.6515484549791627,0.14552183352578135,0.145,0.145,0.145,0.145,0.145,0.4583333333333333,12,2.0,1.7,19.83333333333333,42.0,4.0,-2.8879057678418696,0.7567729333535361
LC_dv42_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,-0.7669338867436044,0.339644069668387,0.295,0.295,0.295,0.295,0.295,0.7916666666666666,12,2.0,1.4,16.333333333333332,42.0,4.0,-2.500658879374172,0.9391255954181246
LC_dv42_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,-0.788227484388716,0.3877826508904009,0.335,0.335,0.335,0.335,0.335,0.9166666666666666,12,2.0,1.1,12.833333333333334,42.0,4.0,-2.020383197456979,0.943728805900176
