exp,seed,rt_brake,rt_replan
0,0,1.0,0.4
0,1,0.6000000000000001,0.4
0,2,0.8,0.4
0,3,1.2000000000000002,0.4
0,4,1.0,0.4
0,5,0.6000000000000001,0.4
0,6,1.0,0.6000000000000001
0,7,1.8,0.4
0,8,0.6000000000000001,0.4
0,9,0.6000000000000001,0.4
0,10,2.4000000000000004,0.4
0,11,0.8,0.4
0,12,0.6000000000000001,0.4
0,13,0.6000000000000001,0.4
0,14,1.8,0.4
0,15,1.4000000000000001,0.4
0,16,0.8,0.4
0,17,0.6000000000000001,0.4
0,18,1.8,0.4
0,19,1.2000000000000002,0.4
0,20,0.8,0.4
0,21,0.6000000000000001,0.4
0,22,1.4000000000000001,0.4
0,23,2.6,0.4
0,24,0.6000000000000001,0.4
0,25,2.2,0.4
0,26,1.2000000000000002,0.4
0,27,0.6000000000000001,0.4
0,28,0.6000000000000001,0.4
0,29,2.6,0.4
0,30,1.0,0.4
0,31,0.6000000000000001,0.4
1,0,0.6000000000000001,0.4
1,1,0.6000000000000001,0.4
1,2,0.8,0.4
1,3,1.2000000000000002,0.4
1,4,0.6000000000000001,0.4
1,5,1.0,0.4
1,6,1.2000000000000002,0.4
1,7,0.6000000000000001,0.4
1,8,0.6000000000000001,0.4
1,9,0.6000000000000001,0.4
1,10,0.6000000000000001,0.4
1,11,0.6000000000000001,0.4
1,12,0.6000000000000001,0.4
1,13,0.8,0.4
1,14,0.6000000000000001,0.4
1,15,0.6000000000000001,0.4
1,16,1.6,0.4
1,17,0.6000000000000001,0.4
1,18,0.6000000000000001,0.4
1,19,0.6000000000000001,0.4
1,20,0.8,0.4
1,21,0.6000000000000001,0.4
1,22,0.6000000000000001,0.4
1,23,0.6000000000000001,0.4
1,24,0.6000000000000001,0.4
1,25,0.6000000000000001,0.4
1,26,0.6000000000000001,0.4
1,27,0.6000000000000001,0.4
1,28,1.2000000000000002,0.4
1,29,0.6000000000000001,0.4
1,30,1.0,0.4
1,31,0.6000000000000001,0.4
2,0,0.6000000000000001,0.4
2,1,0.6000000000000001,0.4
2,2,0.6000000000000001,0.4
2,3,0.8,0.4
2,4,0.6000000000000001,0.4
2,5,0.6000000000000001,0.4
2,6,0.6000000000000001,0.4
2,7,0.6000000000000001,0.4
2,8,0.6000000000000001,0.4
2,9,0.6000000000000001,0.4
2,10,0.6000000000000001,0.4
2,11,0.6000000000000001,0.4
2,12,0.6000000000000001,0.4
2,13,0.6000000000000001,0.4
2,14,0.6000000000000001,0.4
2,15,0.6000000000000001,0.4
2,16,0.6000000000000001,0.4
2,17,0.6000000000000001,0.4
2,18,0.6000000000000001,0.4
2,19,0.6000000000000001,0.4
2,20,0.6000000000000001,0.4
2,21,0.6000000000000001,0.4
2,22,0.6000000000000001,0.4
2,23,0.6000000000000001,0.4
2,24,0.8,0.4
2,25,0.8,0.4
2,26,0.6000000000000001,0.4
2,27,0.6000000000000001,0.4
2,28,0.6000000000000001,0.4
2,29,0.6000000000000001,0.4
2,30,0.6000000000000001,0.4
2,31,0.6000000000000001,0.4
3,0,0.8,0.6000000000000001
3,1,0.8,0.6000000000000001
3,2,0.8,0.6000000000000001
3,3,0.8,0.6000000000000001
3,4,0.8,0.6000000000000001
3,5,0.8,0.6000000000000001
3,6,0.8,0.6000000000000001
3,7,0.8,0.6000000000000001
3,8,0.8,0.6000000000000001
3,9,0.8,0.6000000000000001
3,10,0.8,0.6000000000000001
3,11,0.8,0.6000000000000001
3,12,0.8,0.6000000000000001
3,13,0.8,0.6000000000000001
3,14,0.8,0.6000000000000001
3,15,0.8,0.6000000000000001
3,16,0.8,0.6000000000000001
3,17,0.8,0.6000000000000001
3,18,0.8,0.6000000000000001
3,19,0.8,0.6000000000000001
3,20,0.8,0.6000000000000001
3,21,0.8,0.6000000000000001
3,22,0.8,0.6000000000000001
3,23,0.8,0.6000000000000001
3,24,0.8,0.6000000000000001
3,25,0.8,0.6000000000000001
3,26,0.8,0.6000000000000001
3,27,0.8,0.6000000000000001
3,28,0.8,0.6000000000000001
3,29,0.8,0.6000000000000001
3,30,0.8,0.6000000000000001
3,31,0.8,0.6000000000000001
4,0,1.0,0.6000000000000001
4,1,1.0,0.6000000000000001
4,2,2.0,0.6000000000000001
4,3,2.0,0.6000000000000001
4,4,1.0,0.6000000000000001
4,5,3.6,0.6000000000000001
4,6,1.4000000000000001,0.6000000000000001
4,7,0.8,0.6000000000000001
4,8,3.8000000000000003,0.6000000000000001
4,9,2.4000000000000004,0.6000000000000001
4,10,1.8,0.6000000000000001
4,11,1.8,0.6000000000000001
4,12,1.0,0.6000000000000001
4,13,0.8,0.6000000000000001
4,14,1.2000000000000002,0.6000000000000001
4,15,1.0,0.6000000000000001
4,16,1.4000000000000001,0.6000000000000001
4,17,1.4000000000000001,0.6000000000000001
4,18,1.0,0.6000000000000001
4,19,1.8,0.6000000000000001
4,20,2.0,0.6000000000000001
4,21,0.8,0.6000000000000001
4,22,1.6,0.6000000000000001
4,23,4.2,0.6000000000000001
4,24,2.6,0.6000000000000001
4,25,1.0,0.6000000000000001
4,26,0.8,0.6000000000000001
4,27,0.8,0.6000000000000001
4,28,2.4000000000000004,0.6000000000000001
4,29,0.8,0.6000000000000001
4,30,0.8,0.6000000000000001
4,31,1.6,0.6000000000000001
5,0,0.6000000000000001,0.4
5,1,0.6000000000000001,0.4
5,2,0.6000000000000001,0.4
5,3,0.8,0.4
5,4,1.2000000000000002,0.4
5,5,1.2000000000000002,0.4
5,6,0.6000000000000001,0.4
5,7,0.8,0.4
5,8,0.6000000000000001,0.4
5,9,1.0,0.4
5,10,1.0,0.4
5,11,0.6000000000000001,0.4
5,12,0.6000000000000001,0.4
5,13,0.6000000000000001,0.4
5,14,1.0,0.4
5,15,0.8,0.4
5,16,1.6,0.4
5,17,0.6000000000000001,0.4
5,18,0.8,0.4
5,19,0.6000000000000001,0.4
5,20,0.8,0.4
5,21,0.6000000000000001,0.4
5,22,0.6000000000000001,0.4
5,23,1.0,0.4
5,24,0.8,0.4
5,25,0.6000000000000001,0.4
5,26,0.6000000000000001,0.4
5,27,0.6000000000000001,0.4
5,28,0.6000000000000001,0.4
5,29,0.6000000000000001,0.4
5,30,1.4000000000000001,0.4
5,31,0.6000000000000001,0.4
6,0,0.6000000000000001,0.4
6,1,0.6000000000000001,0.4
6,2,0.6000000000000001,0.4
6,3,0.8,0.4
6,4,0.6000000000000001,0.4
6,5,1.0,0.4
6,6,1.2000000000000002,0.4
6,7,0.6000000000000001,0.4
6,8,0.6000000000000001,0.4
6,9,0.6000000000000001,0.4
6,10,0.6000000000000001,0.4
6,11,0.6000000000000001,0.4
6,12,0.6000000000000001,0.4
6,13,0.6000000000000001,0.4
6,14,1.0,0.4
6,15,0.6000000000000001,0.4
6,16,1.6,0.4
6,17,0.6000000000000001,0.4
6,18,0.6000000000000001,0.4
6,19,0.6000000000000001,0.4
6,20,0.6000000000000001,0.4
6,21,0.6000000000000001,0.4
6,22,0.6000000000000001,0.4
6,23,0.6000000000000001,0.4
6,24,0.6000000000000001,0.4
6,25,0.6000000000000001,0.4
6,26,0.6000000000000001,0.4
6,27,1.2000000000000002,0.4
6,28,0.6000000000000001,0.4
6,29,0.6000000000000001,0.4
6,30,0.6000000000000001,0.4
6,31,0.6000000000000001,0.4
7,0,0.8,0.6000000000000001
7,1,0.8,0.6000000000000001
7,2,0.8,0.6000000000000001
7,3,0.8,0.6000000000000001
7,4,0.8,0.6000000000000001
7,5,0.8,0.6000000000000001
7,6,0.8,0.6000000000000001
7,7,0.8,0.6000000000000001
7,8,0.8,0.6000000000000001
7,9,0.8,0.6000000000000001
7,10,0.8,0.6000000000000001
7,11,0.8,0.6000000000000001
7,12,0.8,0.6000000000000001
7,13,0.8,0.6000000000000001
7,14,0.8,0.6000000000000001
7,15,0.8,0.6000000000000001
7,16,0.8,0.6000000000000001
7,17,0.8,0.6000000000000001
7,18,0.8,0.6000000000000001
7,19,0.8,0.6000000000000001
7,20,0.8,0.6000000000000001
7,21,0.8,0.6000000000000001
7,22,0.8,0.6000000000000001
7,23,0.8,0.6000000000000001
7,24,0.8,0.6000000000000001
7,25,0.8,0.6000000000000001
7,26,0.8,0.6000000000000001
7,27,0.8,0.6000000000000001
7,28,0.8,0.6000000000000001
7,29,0.8,0.6000000000000001
7,30,0.8,0.6000000000000001
7,31,0.8,0.6000000000000001
8,0,1.4000000000000001,0.8
8,1,1.0,0.8
8,2,1.4000000000000001,0.8
8,3,1.0,0.8
8,4,2.8000000000000003,0.8
8,5,1.2000000000000002,0.8
8,6,1.8,0.8
8,7,1.2000000000000002,0.8
8,8,1.0,0.8
8,9,1.4000000000000001,0.8
8,10,2.0,0.8
8,11,2.2,0.8
8,12,1.0,0.8
8,13,1.0,0.8
8,14,1.0,0.8
8,15,1.6,0.8
8,16,1.0,0.8
8,17,1.0,0.8
8,18,1.6,0.8
8,19,1.4000000000000001,0.8
8,20,1.4000000000000001,0.8
8,21,3.2,0.8
8,22,2.6,0.8
8,23,1.0,0.8
8,24,2.8000000000000003,0.8
8,25,1.0,0.8
8,26,1.8,0.8
8,27,1.2000000000000002,0.8
8,28,1.4000000000000001,0.8
8,29,1.2000000000000002,0.8
8,30,1.2000000000000002,0.8
8,31,1.8,0.8
9,0,0.8,0.6000000000000001
9,1,1.0,0.6000000000000001
9,2,1.4000000000000001,0.6000000000000001
9,3,0.8,0.6000000000000001
9,4,1.2000000000000002,0.6000000000000001
9,5,0.8,0.6000000000000001
9,6,0.8,0.6000000000000001
9,7,0.8,0.6000000000000001
9,8,0.8,0.6000000000000001
9,9,1.4000000000000001,0.6000000000000001
9,10,1.2000000000000002,0.6000000000000001
9,11,1.0,0.6000000000000001
9,12,0.8,0.6000000000000001
9,13,0.8,0.6000000000000001
9,14,0.8,0.6000000000000001
9,15,0.8,0.6000000000000001
9,16,1.0,0.6000000000000001
9,17,1.6,0.6000000000000001
9,18,1.0,0.6000000000000001
9,19,2.0,0.6000000000000001
9,20,1.6,0.6000000000000001
9,21,0.8,0.6000000000000001
9,22,0.8,0.6000000000000001
9,23,0.8,0.6000000000000001
9,24,0.8,0.6000000000000001
9,25,0.8,0.6000000000000001
9,26,0.8,0.6000000000000001
9,27,0.8,0.6000000000000001
9,28,1.2000000000000002,0.6000000000000001
9,29,0.8,0.6000000000000001
9,30,0.8,0.6000000000000001
9,31,0.8,0.6000000000000001
10,0,0.8,0.6000000000000001
10,1,0.8,0.6000000000000001
10,2,0.8,0.6000000000000001
10,3,0.8,0.6000000000000001
10,4,1.0,0.6000000000000001
10,5,0.8,0.6000000000000001
10,6,0.8,0.6000000000000001
10,7,0.8,0.6000000000000001
10,8,0.8,0.6000000000000001
10,9,0.8,0.6000000000000001
10,10,0.8,0.6000000000000001
10,11,0.8,0.6000000000000001
10,12,0.8,0.6000000000000001
10,13,0.8,0.6000000000000001
10,14,0.8,0.6000000000000001
10,15,0.8,0.6000000000000001
10,16,0.8,0.6000000000000001
10,17,0.8,0.6000000000000001
10,18,0.8,0.6000000000000001
10,19,0.8,0.6000000000000001
10,20,0.8,0.6000000000000001
10,21,0.8,0.6000000000000001
10,22,0.8,0.6000000000000001
10,23,0.8,0.6000000000000001
10,24,0.8,0.6000000000000001
10,25,0.8,0.6000000000000001
10,26,0.8,0.6000000000000001
10,27,0.8,0.6000000000000001
10,28,0.8,0.6000000000000001
10,29,0.8,0.6000000000000001
10,30,0.8,0.6000000000000001
10,31,0.8,0.6000000000000001
11,0,0.8,0.6000000000000001
11,1,0.8,0.6000000000000001
11,2,1.0,0.8
11,3,0.8,0.6000000000000001
11,4,0.8,0.6000000000000001
11,5,0.8,0.6000000000000001
11,6,0.8,0.6000000000000001
11,7,0.8,0.6000000000000001
11,8,0.8,0.6000000000000001
11,9,1.0,0.8
11,10,0.8,0.6000000000000001
11,11,0.8,0.6000000000000001
11,12,0.8,0.6000000000000001
11,13,0.8,0.6000000000000001
11,14,0.8,0.6000000000000001
11,15,0.8,0.6000000000000001
11,16,0.8,0.6000000000000001
11,17,0.8,0.6000000000000001
11,18,0.8,0.6000000000000001
11,19,0.8,0.6000000000000001
11,20,0.8,0.6000000000000001
11,21,0.8,0.6000000000000001
11,22,0.8,0.6000000000000001
11,23,0.8,0.6000000000000001
11,24,0.8,0.6000000000000001
11,25,0.8,0.6000000000000001
11,26,1.0,0.8
11,27,0.8,0.6000000000000001
11,28,0.8,0.6000000000000001
11,29,0.8,0.6000000000000001
11,30,0.8,0.6000000000000001
11,31,0.8,0.6000000000000001
12,0,1.4000000000000001,1.0
12,1,1.2000000000000002,1.0
12,2,1.8,1.0
12,3,5.2,1.0
12,4,3.2,1.0
12,5,1.6,1.0
12,6,1.2000000000000002,1.0
12,7,1.4000000000000001,1.0
12,8,1.4000000000000001,1.0
12,9,2.6,1.0
12,10,1.6,1.0
12,11,1.2000000000000002,1.0
12,12,1.4000000000000001,1.0
12,13,1.4000000000000001,1.0
12,14,1.8,1.0
12,15,1.2000000000000002,1.0
12,16,1.4000000000000001,1.0
12,17,1.4000000000000001,1.0
12,18,1.6,1.0
12,19,2.0,1.0
12,20,1.8,1.0
12,21,1.2000000000000002,1.0
12,22,1.2000000000000002,1.0
12,23,1.2000000000000002,1.0
12,24,1.2000000000000002,1.0
12,25,1.4000000000000001,1.0
12,26,1.6,1.0
12,27,1.8,1.0
12,28,2.0,1.0
12,29,3.6,1.0
12,30,1.2000000000000002,1.0
12,31,1.4000000000000001,1.0
13,0,1.4000000000000001,0.8
13,1,1.0,0.8
13,2,1.4000000000000001,0.8
13,3,1.0,0.8
13,4,1.2000000000000002,0.8
13,5,1.2000000000000002,0.8
13,6,1.0,0.8
13,7,1.0,0.8
13,8,1.2000000000000002,0.8
13,9,1.0,0.8
13,10,1.0,0.8
13,11,1.6,0.8
13,12,1.0,0.8
13,13,1.0,0.8
13,14,1.2000000000000002,0.8
13,15,1.0,0.8
13,16,1.2000000000000002,0.8
13,17,1.2000000000000002,0.8
13,18,1.2000000000000002,0.8
13,19,1.0,0.8
13,20,1.0,0.8
13,21,1.8,0.8
13,22,1.2000000000000002,0.8
13,23,1.0,0.8
13,24,1.2000000000000002,0.8
13,25,1.0,0.8
13,26,1.4000000000000001,0.8
13,27,1.4000000000000001,0.8
13,28,1.0,0.8
13,29,1.0,0.8
13,30,1.4000000000000001,0.8
13,31,1.0,0.8
14,0,1.0,0.8
14,1,1.0,0.8
14,2,1.0,0.8
14,3,1.0,0.8
14,4,1.4000000000000001,0.8
14,5,1.2000000000000002,0.8
14,6,1.0,0.8
14,7,1.0,0.8
14,8,1.0,0.8
14,9,1.0,0.8
14,10,1.0,0.8
14,11,1.0,0.8
14,12,1.0,0.8
14,13,1.0,0.8
14,14,1.0,0.8
14,15,1.0,0.8
14,16,1.0,0.8
14,17,1.0,0.8
14,18,1.0,0.8
14,19,1.0,0.8
14,20,1.2000000000000002,0.8
14,21,1.0,0.8
14,22,1.0,0.8
14,23,1.0,0.8
14,24,1.0,0.8
14,25,1.0,0.8
14,26,1.2000000000000002,0.8
14,27,1.0,0.8
14,28,1.0,0.8
14,29,1.2000000000000002,0.8
14,30,1.0,0.8
14,31,1.0,0.8
15,0,1.0,0.8
15,1,1.0,0.8
15,2,1.0,0.8
15,3,1.0,0.8
15,4,1.0,0.8
15,5,1.0,0.8
15,6,1.0,0.8
15,7,1.0,0.8
15,8,1.0,0.8
15,9,1.0,0.8
15,10,1.0,0.8
15,11,1.0,0.8
15,12,1.0,0.8
15,13,1.0,0.8
15,14,1.0,0.8
15,15,1.0,0.8
15,16,1.0,0.8
15,17,1.0,0.8
15,18,1.0,0.8
15,19,1.0,0.8
15,20,1.0,0.8
15,21,1.0,0.8
15,22,1.0,0.8
15,23,1.0,0.8
15,24,1.0,0.8
15,25,1.0,0.8
15,26,1.0,0.8
15,27,1.0,0.8
15,28,1.0,0.8
15,29,1.0,0.8
15,30,1.0,0.8
15,31,1.0,0.8
16,0,1.8,1.4000000000000001
16,1,2.0,1.4000000000000001
16,2,1.6,1.4000000000000001
16,3,1.6,1.4000000000000001
16,4,3.4000000000000004,1.4000000000000001
16,5,1.8,1.4000000000000001
16,6,2.2,1.4000000000000001
16,7,2.8000000000000003,1.4000000000000001
16,8,1.8,1.4000000000000001
16,9,3.2,1.4000000000000001
16,10,1.6,1.4000000000000001
16,11,2.0,1.4000000000000001
16,12,1.6,1.4000000000000001
16,13,1.8,1.4000000000000001
16,14,1.8,1.4000000000000001
16,15,2.6,1.4000000000000001
16,16,1.6,1.4000000000000001
16,17,1.6,1.4000000000000001
16,18,1.8,1.4000000000000001
16,19,2.4000000000000004,1.4000000000000001
16,20,1.8,1.4000000000000001
16,21,2.2,1.4000000000000001
16,22,1.6,1.4000000000000001
16,23,2.2,1.4000000000000001
16,24,2.0,1.4000000000000001
16,25,4.2,1.4000000000000001
16,26,1.8,1.4000000000000001
16,27,2.4000000000000004,1.4000000000000001
16,28,1.6,1.4000000000000001
16,29,2.4000000000000004,1.4000000000000001
16,30,1.6,1.4000000000000001
16,31,3.2,1.4000000000000001
17,0,1.2000000000000002,1.0
17,1,1.2000000000000002,1.0
17,2,1.2000000000000002,1.0
17,3,1.2000000000000002,1.0
17,4,1.4000000000000001,1.0
17,5,1.6,1.0
17,6,1.8,1.0
17,7,1.2000000000000002,1.0
17,8,1.2000000000000002,1.0
17,9,1.2000000000000002,1.0
17,10,1.2000000000000002,1.0
17,11,1.4000000000000001,1.0
17,12,1.4000000000000001,1.0
17,13,1.4000000000000001,1.0
17,14,1.8,1.0
17,15,1.4000000000000001,1.0
17,16,1.4000000000000001,1.0
17,17,1.2000000000000002,1.0
17,18,2.2,1.0
17,19,1.4000000000000001,1.0
17,20,1.2000000000000002,1.0
17,21,1.2000000000000002,1.0
17,22,1.2000000000000002,1.0
17,23,1.2000000000000002,1.0
17,24,1.6,1.0
17,25,1.2000000000000002,1.0
17,26,1.4000000000000001,1.0
17,27,2.2,1.0
17,28,1.2000000000000002,1.0
17,29,1.4000000000000001,1.0
17,30,1.2000000000000002,1.0
17,31,1.2000000000000002,1.0
18,0,1.2000000000000002,1.0
18,1,1.2000000000000002,1.0
18,2,1.2000000000000002,1.0
18,3,1.2000000000000002,1.0
18,4,1.2000000000000002,1.0
18,5,1.2000000000000002,1.0
18,6,1.2000000000000002,1.0
18,7,1.2000000000000002,1.0
18,8,1.2000000000000002,1.0
18,9,1.2000000000000002,1.0
18,10,1.2000000000000002,1.0
18,11,1.2000000000000002,1.0
18,12,1.2000000000000002,1.0
18,13,1.2000000000000002,1.0
18,14,1.2000000000000002,1.0
18,15,1.4000000000000001,1.0
18,16,1.4000000000000001,1.0
18,17,1.2000000000000002,1.0
18,18,1.2000000000000002,1.0
18,19,1.4000000000000001,1.0
18,20,1.2000000000000002,1.0
18,21,1.2000000000000002,1.0
18,22,1.2000000000000002,1.0
18,23,1.2000000000000002,1.0
18,24,1.2000000000000002,1.0
18,25,1.2000000000000002,1.0
18,26,1.2000000000000002,1.0
18,27,1.2000000000000002,1.0
18,28,1.2000000000000002,1.0
18,29,1.2000000000000002,1.0
18,30,1.2000000000000002,1.0
