v0,time_gap,repeat,response_time,min_decel,inv_ttc_at_onset,max_lateral,maneuver,collided,min_clearance
10.0,0.5,0,nan,-0.09844614056975527,nan,0.30204019811596855,none,1,-1.5332089471986734
10.0,0.5,1,0.0,-3.965389248913888,0.0,0.09630381332195716,brake,0,1.2014388180579045
10.0,0.5,2,0.0,-5.384055609550216,0.0,0.11200548330393588,brake,0,0.3719984028897825
10.0,0.5,3,0.20000000000000018,-5.068595964998163,0.0,0.05478708055039394,brake,0,1.3281029330624774
10.0,0.5,4,0.20000000000000018,-5.021349037795529,0.0,0.08207757145996389,brake,0,0.97218949738249
10.0,1.0,0,0.8000000000000003,-7.3382640871121705,0.6777551527100061,0.05637762061711267,brake,1,-0.649911373926348
10.0,1.0,1,1.0,-7.901182770233036,1.057182365784848,0.2101785056068309,brake,1,-0.5800237868685132
10.0,1.0,2,0.0,-5.336965907849957,0.08466191329781611,0.14825318468069534,brake,1,-0.1874668177692529
10.0,1.0,3,0.0,-4.965868777675344,0.06072874379934284,0.12047330048857731,brake,0,0.6380454436881591
10.0,1.0,4,0.20000000000000018,-3.7943350452288684,0.0,0.0820813419298669,brake,0,0.6963870889236317
10.0,1.5,0,0.0,-6.876824108768048,0.07332529020148576,0.1327828454153144,brake,1,-0.01651614661524281
10.0,1.5,1,0.40000000000000036,-6.785464543354147,0.22844150842277924,0.08647158278822455,brake,0,0.455900238401294
10.0,1.5,2,0.8000000000000003,-7.309927022239483,0.594847025801511,3.6513406051161907,both,0,0.902231386288239
10.0,1.5,3,0.20000000000000018,-6.26663496047108,0.06963200681879633,0.09356215920811939,brake,0,1.8582091194470918
10.0,1.5,4,2.8000000000000007,-3.858982722144015,12181.16698937995,3.73227804396906,both,0,1.1044326236579762
10.0,2.0,0,0.40000000000000036,-6.411071013467286,0.20753771978977853,0.120087071818369,brake,0,0.3401491317053269
10.0,2.0,1,0.6000000000000001,-8.0,0.3537921654972053,0.11492335560414241,brake,1,-0.12235094813963077
10.0,2.0,2,0.0,-6.79134589407295,0.1784734937649022,0.1264413530582562,brake,1,-0.07858638765602866
10.0,2.0,3,0.0,-6.066343037375269,0.18021305409404192,0.31591770281957043,brake,0,0.3246593709063914
10.0,2.0,4,0.6000000000000001,-7.897720447224614,0.6231472726445743,0.09865514826977878,brake,1,-0.9919646276462162
10.0,2.5,0,0.20000000000000018,-4.3096991937675515,0.0,0.08044813764741383,brake,0,0.5096809440968029
10.0,2.5,1,0.40000000000000036,-3.347453789696912,0.0,0.0930141712305908,brake,0,2.8912874441366965
10.0,2.5,2,0.0,-5.006340315636433,0.006436788985832328,3.727102322058592,both,0,2.05403077544329
10.0,2.5,3,0.0,-4.549198841283147,0.015465188140777528,0.13760226328017422,brake,0,0.6123549222485805
10.0,2.5,4,0.0,-4.273277862026794,0.0,0.13641034377999972,brake,0,3.9074378959467735
10.0,3.0,0,0.20000000000000018,-4.548464164184201,0.0,0.15180575757933504,brake,0,1.6640600630425793
10.0,3.0,1,0.0,-4.60527987952329,0.0,0.09660129512970962,brake,1,-0.45421576830072485
10.0,3.0,2,0.40000000000000036,-3.14899683545678,0.07784925338050767,0.18008988427612613,brake,0,0.7433324737636253
10.0,3.0,3,0.0,-4.839933311309485,0.0,0.08719741927951573,brake,0,13.721008769373928
10.0,3.0,4,0.0,-4.951308758323058,0.0,0.12795852958400142,brake,0,1.2251098873306416
10.0,3.5,0,1.6,-3.3880208446073667,0.3572717391511161,0.11128428592695123,brake,0,0.12260699521410157
10.0,3.5,1,2.2,-5.5668496410029,0.6200292643038597,0.154559500644172,brake,1,-0.056560884211575235
