seed_id,element,t_onset,crashed,t_impact,v_rel_impact,a_f_min,min_gap,y_ego_max
3456,0,,False,,0.0,0.0,4.0210371017456055,0.0
3456,1,,False,,0.0,0.0,4.0210371017456055,0.0
3456,2,,False,,0.0,0.0,4.0210371017456055,0.0
3456,3,,False,,0.0,0.0,4.0210371017456055,0.0
2387,0,5.2,False,,0.0,-6.199999809265137,1.3000030517578125,0.0011570487404242158
2387,1,5.4,False,,0.0,-6.194028377532959,0.9637632369995117,0.001218987861648202
2387,2,5.4,False,,0.0,-6.199999809265137,0.9640007019042969,0.0010616721119731665
2387,3,5.4,False,,0.0,-6.199999809265137,0.9640016555786133,0.000939629040658474
1722,0,3.2,False,,0.0,-4.3795905113220215,1.4817705154418945,0.09595155715942383
1722,1,3.2,False,,0.0,-4.674443244934082,1.7425165176391602,0.030907433480024338
1722,2,3.2,False,,0.0,-7.398772716522217,0.8696126937866211,0.03685508295893669
1722,3,3.2,False,,0.0,-5.43828010559082,1.2018728256225586,0.022414550185203552
4799,0,2.4000000000000004,False,,0.0,-4.901309013366699,5.774479866027832,3.7324094772338867
4799,1,2.4000000000000004,False,,0.0,-7.050080299377441,10.119999885559082,0.4153123199939728
4799,2,2.4000000000000004,False,,0.0,-5.617237091064453,4.059178352355957,4.1502251625061035
4799,3,2.4000000000000004,True,6.800000000000001,1.9904696941375732,-4.915032386779785,-1.618494987487793,4.178195953369141
871,0,2.2,True,5.4,19.49603271484375,-5.00396728515625,-71.343017578125,6.515982627868652
871,1,1.4000000000000001,True,6.2,15.734716415405273,-4.919338226318359,-41.727603912353516,7.840911388397217
871,2,1.8,True,6.0,19.314716339111328,-6.200008392333984,-62.322452545166016,15.246613502502441
871,3,2.0,True,5.800000000000001,17.24949073791504,-4.156665802001953,-55.093753814697266,10.570136070251465
