scenario,phase,horizon_s,n,n_tracks,sd_lon_m,sd_lat_m,q90_abs_lon_m,q90_abs_lat_m
cut_in,pre_onset,0.5,144,6,5.195822668345875e-15,0.09479114601561893,7.105427357601002e-15,0.16190000000000004
cut_in,pre_onset,1.0,84,6,6.021245986992377e-15,0.16424868625542766,1.2079226507921723e-14,0.26686666666666675
cut_in,all,0.5,870,6,0.08046131779299662,0.10036047436523413,0.2013333333333378,0.16543333333333343
cut_in,all,1.0,810,6,0.2490609655369213,0.16620843430799956,0.6516666666666993,0.2733333333333332
cut_in,all,2.0,690,6,0.7578506424274386,0.29937797063533916,2.30333333333337,0.4872333333333334
cut_in,all,3.0,570,6,1.3587584350399609,0.4445569662367345,4.9550000000000125,0.7241000000000004
cut_in,all,4.0,450,6,2.027953768709897,0.6032870868431668,8.606666666666683,0.983333333333334
cut_in,all,5.0,330,6,2.6932032501197254,0.7352872359452084,13.258333333333244,1.1861333333333328
cut_in,all,6.0,210,6,2.615726397568897,0.8189050468935116,17.256999999999984,1.2864999999999993
rear_end,pre_onset,0.5,144,6,4.586533637279209e-15,0.09565248625474759,7.105427357601002e-15,0.16743333333333363
rear_end,pre_onset,1.0,84,6,5.530685679009287e-15,0.15279914260014643,7.105427357601002e-15,0.23206666666666664
rear_end,all,0.5,870,6,0.2539837867629214,0.1002696934432475,0.6013333333333435,0.16303333333333342
rear_end,all,1.0,810,6,0.7455916559584359,0.16459896481480982,1.9516666666666822,0.26980000000000015
rear_end,all,2.0,690,6,2.2450440591128054,0.309714769592253,6.903333333333364,0.4980333333333329
rear_end,all,3.0,570,6,4.029698201978713,0.44663843672936443,14.855000000000018,0.7454999999999996
rear_end,all,4.0,450,6,6.0085658144266265,0.5871866177579953,25.8066666666666,0.9711666666666677
rear_end,all,5.0,330,6,7.939016307243933,0.7152026987540462,39.58603333333342,1.2545
rear_end,all,6.0,210,6,7.571766526163809,0.8278268614235292,50.69579999999999,1.4856
