scenario,phase,n,n_tracks,s0_lon_m,s1_lon_mps,s0_lat_m,s1_lat_mps,jitter_floor_s1_mps
cut_in,pre_onset,228,6,4.889815591877862e-15,3.5135604041057766e-15,0.05466203592739552,0.1548860638175883,0.14142135623730953
cut_in,all,3930,6,0.2078414850023943,0.4727610037743503,0.1439938139311645,0.13868360004776414,0.14142135623730953
rear_end,pre_onset,228,6,4.2251895083169996e-15,3.568789388406994e-15,0.06645804322407432,0.13758963067821264,0.14142135623730953
rear_end,all,3930,6,0.868277386112286,1.3772486257886045,0.13611939043645255,0.13826545364397436,0.14142135623730953
