duration_s,probability
0.0,0.8
0.15,0.0
0.25,0.001255
0.35,0.005196
0.45,0.007824
0.55,0.022274
0.65,0.01702
0.75,0.027529
0.85,0.022274
0.95,0.02096
1.05,0.007824
1.15,0.023588
1.25,0.011765
1.35,0.011765
1.45,0.00651
1.55,0.00651
1.65,0.002569
1.75,0.003883
1.85,0.0
1.95,0.0
2.05,0.0
2.15,0.0
2.25,0.0
2.35,0.0
2.45,0.0
2.55,0.0
2.65,0.001255
