seed_id,omega,v_f0,dv_lead,p_inj,t_nr,a_l_min,a_f_min
1,0.012977002,1.03,0.809665307,0.002695705585001046,0.0,-2.2200000000000077,-1.7763568394002505e-15
2,0.663725444,18.44,7.21889503,0.022123644827494297,-0.10000000000000053,-1.880000000000038,-5.684341886080802e-14
3,0.184649178,18.44,7.799279341,0.026691942464696073,-0.40000000000000036,-3.120000000000033,-5.684341886080802e-14
4,0.040016275,27.21,9.552303564,0.0467433859446646,-0.25,-1.0500000000000398,-5.684341886080802e-14
5,7.418140737,1.46,1.218978294,0.0030862463063163425,-0.14999999999999947,-2.420000000000009,-1.7763568394002505e-15
6,0.562398884,3.6,0.425668015,0.002374263157238201,-0.10000000000000053,-1.7763568394002505e-15,-7.105427357601002e-15
7,0.48163867,3.6,0.327796201,0.002298641811723089,-0.10000000000000053,-1.7763568394002505e-15,-1.4210854715202004e-14
8,0.018637104,3.6,1.276523097,0.0031454980186927982,-0.15000000000000036,-3.552713678800501e-15,-7.105427357601002e-15
9,0.06478954,3.6,1.016879013,0.0028868318784192226,-0.10000000000000053,-3.552713678800501e-15,-7.105427357601002e-15
10,0.015606475,3.6,0.008500977,0.0020682502517773544,0.0,-8.881784197001252e-16,-7.105427357601002e-15
11,0.018330698,3.6,0.411709535,0.0023633281640833875,0.0,-3.552713678800501e-15,-1.4210854715202004e-14
12,2.985015308,3.6,1.489917524,0.0033752923294578983,-0.14999999999999947,-0.1700000000000088,-1.4210854715202004e-14
13,0.979899332,3.6,0.659963644,0.0025655282481395966,-0.09999999999999964,-1.7763568394002505e-15,-7.105427357601002e-15
14,0.883549171,1.26,0.863569003,0.0027441749260712143,0.0,-1.140000000000006,-1.7763568394002505e-15
15,0.260000703,6.55,1.43138889,0.0033106500295573145,0.0,-7.105427357601002e-15,-1.4210854715202004e-14
16,0.029018148,6.55,3.300477961,0.00613438876030791,-0.20000000000000018,-1.3000000000000114,-1.4210854715202004e-14
17,0.042967703,14.13,6.228565282,0.016031622071929572,-0.15000000000000036,-3.380000000000024,-2.842170943040401e-14
18,1.029559598,12.41,4.134745068,0.008072938704293809,-0.20000000000000018,-1.2800000000000153,-2.842170943040401e-14
19,4.215587715,14.79,3.953331989,0.007605338438578411,-0.25,-1.2200000000000273,-2.842170943040401e-14
20,0.126700419,20.77,7.839398185,0.0270396374277524,-0.34999999999999964,-2.3400000000000176,-2.842170943040401e-14
21,0.343975859,1.15,0.872033703,0.002751864806664844,-0.09999999999999964,-2.420000000000009,-3.552713678800501e-15
22,1.964325605,1.53,0.825001984,0.0027094085154073686,-0.15000000000000036,-1.370000000000008,-3.552713678800501e-15
23,0.462948431,2.92,1.506169282,0.003393463771778989,-0.1999999999999993,-2.11000000000001,-3.552713678800501e-15
24,0.451350892,12.74,6.660484246,0.018453968447323655,-0.14999999999999947,-2.1800000000000495,-2.842170943040401e-14
25,0.301054047,3.75,1.786119394,0.003722236424066433,-0.1999999999999993,-1.3600000000000065,-7.105427357601002e-15
26,0.06039108,18.94,9.601490123,0.04747531982524278,-0.40000000000000036,-2.390000000000043,-2.842170943040401e-14
27,0.022866755,24.66,11.33689512,0.08138925047018905,-0.39999999999999947,-2.940000000000019,-2.842170943040401e-14
28,0.046535113,24.66,11.50722392,0.08571180491964976,-0.5,-4.210000000000022,-2.842170943040401e-14
29,0.023145924,1.12,0.665030558,0.0025698300574641484,-0.10000000000000053,-3.590000000000013,-1.7763568394002505e-15
30,0.451567283,26.4,7.831000673,0.026966496835132327,-0.35000000000000053,-0.8800000000000523,-5.684341886080802e-14
