seed_id,omega,v_f0,d0,thw0,t_crash_orig,t_lead_onset,t_anchor,schedule,glance_end,d_max,prob,no_response,crashed,t_onset,rt_vs_anchor,t_impact,v_rel_impact,dv_lead,p_inj,a_f_min,min_gap,a_l_min,t_nr
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.1,2.3000000000000003,5.25,0.00010453288839944323,False,False,2.8000000000000003,2.6,,0.0,0.0,0.0,-5.2500000000000036,12.300286735750007,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.1,2.3000000000000003,6.75,8.235924540562193e-05,False,False,2.8000000000000003,2.6,,0.0,0.0,0.0,-6.750000000000007,13.44477946735001,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.1,2.3000000000000003,8.25,3.167663284831613e-05,False,False,2.8000000000000003,2.6,,0.0,0.0,0.0,-8.250000000000002,14.085919621750005,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.2,2.4000000000000004,2.25,2.3726576090309418e-05,False,False,2.9000000000000004,2.7,,0.0,0.0,0.0,-2.250000000000001,3.6745726145499944,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.2,2.4000000000000004,3.75,5.799829710964525e-05,False,False,2.9000000000000004,2.7,,0.0,0.0,0.0,-3.75,9.244083695350014,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.2,2.4000000000000004,5.25,8.699744566446788e-05,False,False,2.9000000000000004,2.7,,0.0,0.0,0.0,-5.2500000000000036,11.489914158550008,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.2,2.4000000000000004,6.75,6.854344203867166e-05,False,False,2.9000000000000004,2.7,,0.0,0.0,0.0,-6.750000000000007,12.63440689015001,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.2,2.4000000000000004,8.25,2.6362862322566024e-05,False,False,2.9000000000000004,2.7,,0.0,0.0,0.0,-8.250000000000002,13.275547044550006,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.3,2.5000000000000004,2.25,1.9840809226068417e-05,False,False,3.0000000000000004,2.8000000000000003,,0.0,0.0,0.0,-2.250000000000001,2.459013748749996,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.3,2.5000000000000004,3.75,4.849975588594502e-05,False,False,3.0000000000000004,2.8000000000000003,,0.0,0.0,0.0,-3.75,8.028524829550015,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.3,2.5000000000000004,5.25,7.274963382891754e-05,False,False,3.0000000000000004,2.8000000000000003,,0.0,0.0,0.0,-5.2500000000000036,10.274355292750009,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.3,2.5000000000000004,6.75,5.7317893319753206e-05,False,False,3.0000000000000004,2.8000000000000003,,0.0,0.0,0.0,-6.750000000000007,11.418848024350012,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.3,2.5000000000000004,8.25,2.2045343584520464e-05,False,False,3.0000000000000004,2.8000000000000003,,0.0,0.0,0.0,-8.250000000000002,12.059988178750007,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.4,2.6000000000000005,2.25,1.6665731738852735e-05,False,False,3.1000000000000005,2.9000000000000004,,0.0,0.0,0.0,-2.250000000000001,1.648641171549997,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.4,2.6000000000000005,3.75,4.0738455361640026e-05,False,False,3.1000000000000005,2.9000000000000004,,0.0,0.0,0.0,-3.75,7.218152252350016,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.4,2.6000000000000005,5.25,6.110768304246003e-05,False,False,3.1000000000000005,2.9000000000000004,,0.0,0.0,0.0,-5.2500000000000036,9.463982715550017,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.4,2.6000000000000005,6.75,4.8145447245574574e-05,False,False,3.1000000000000005,2.9000000000000004,,0.0,0.0,0.0,-6.750000000000007,10.608475447150013,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.4,2.6000000000000005,8.25,1.8517479709836374e-05,False,False,3.1000000000000005,2.9000000000000004,,0.0,0.0,0.0,-8.250000000000002,11.249615601550008,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.5,2.7,2.25,1.4057558103970971e-05,False,False,3.2,3.0,,0.0,0.0,0.0,-2.250000000000001,1.2434548829499974,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.5,2.7,3.75,3.436291980970682e-05,False,False,3.2,3.0,,0.0,0.0,0.0,-3.75,6.81296596375001,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.5,2.7,5.25,5.154437971456023e-05,False,False,3.2,3.0,,0.0,0.0,0.0,-5.2500000000000036,9.058796426950025,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.5,2.7,6.75,4.0610723411471696e-05,False,False,3.2,3.0,,0.0,0.0,0.0,-6.750000000000007,10.203289158550014,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.5,2.7,8.25,1.561950900441219e-05,False,False,3.2,3.0,,0.0,0.0,0.0,-8.250000000000002,10.844429312950009,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.6,2.8000000000000003,2.25,1.1904312823736206e-05,False,False,3.3000000000000003,3.1,,0.0,0.0,0.0,-2.250000000000001,0.4330823057499984,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.6,2.8000000000000003,3.75,2.909943134691073e-05,False,False,3.3000000000000003,3.1,,0.0,0.0,0.0,-3.75,6.002593386550018,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.6,2.8000000000000003,5.25,4.364914702036609e-05,False,False,3.3000000000000003,3.1,,0.0,0.0,0.0,-5.2500000000000036,8.248423849750019,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.6,2.8000000000000003,6.75,3.439023704634904e-05,False,False,3.3000000000000003,3.1,,0.0,0.0,0.0,-6.750000000000007,9.392916581350008,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.6,2.8000000000000003,8.25,1.3227014248595787e-05,False,False,3.3000000000000003,3.1,,0.0,0.0,0.0,-8.250000000000002,10.03405673575001,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.7,2.9000000000000004,2.25,1.0118211000487638e-05,False,True,3.4000000000000004,3.2,6.4,1.296125772000009,0.6480628860000045,0.0025554527313305124,-2.250000000000001,-0.003267952549997233,0.0,0.0
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.7,2.9000000000000004,3.75,2.4733404667858672e-05,False,False,3.4000000000000004,3.2,,0.0,0.0,0.0,-3.75,5.192220809350012,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.7,2.9000000000000004,5.25,3.710010700178801e-05,False,False,3.4000000000000004,3.2,,0.0,0.0,0.0,-5.2500000000000036,7.438051272550027,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.7,2.9000000000000004,6.75,2.923038733474207e-05,False,False,3.4000000000000004,3.2,,0.0,0.0,0.0,-6.750000000000007,8.582544004150009,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.7,2.9000000000000004,8.25,1.1242456667208489e-05,False,False,3.4000000000000004,3.2,,0.0,0.0,0.0,-8.250000000000002,9.223684158550014,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.8,3.0000000000000004,2.25,8.629998105891893e-06,False,True,3.5000000000000004,3.3000000000000003,5.95,2.6461257720000084,1.3230628860000042,0.0031942466398623267,-2.2499999999999964,-0.03615135514998968,0.0,-0.14999999999999947
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.8,3.0000000000000004,3.75,2.1095550925513516e-05,False,False,3.5000000000000004,3.3000000000000003,,0.0,0.0,0.0,-3.75,3.9766619435500132,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.8,3.0000000000000004,5.25,3.1643326388270274e-05,False,False,3.5000000000000004,3.3000000000000003,,0.0,0.0,0.0,-5.2500000000000036,6.222492406750021,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.8,3.0000000000000004,6.75,2.493110563924325e-05,False,False,3.5000000000000004,3.3000000000000003,,0.0,0.0,0.0,-6.750000000000007,7.366985138350003,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.8,3.0000000000000004,8.25,9.588886784324327e-06,False,False,3.5000000000000004,3.3000000000000003,,0.0,0.0,0.0,-8.250000000000002,8.008125292750009,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.9,3.1000000000000005,2.25,7.384712151856203e-06,False,True,3.6000000000000005,3.4000000000000004,5.800000000000001,3.2086257720000075,1.6043128860000038,0.003505291036581921,-2.2499999999999964,-0.11467998934998747,0.0,-0.20000000000000018
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.9,3.1000000000000005,3.75,1.8051518593426276e-05,False,False,3.6000000000000005,3.4000000000000004,,0.0,0.0,0.0,-3.75,3.1662893663500213,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.9,3.1000000000000005,5.25,2.7077277890139416e-05,False,False,3.6000000000000005,3.4000000000000004,,0.0,0.0,0.0,-5.2500000000000036,5.412119829550022,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.9,3.1000000000000005,6.75,2.1333612883140144e-05,False,False,3.6000000000000005,3.4000000000000004,,0.0,0.0,0.0,-6.750000000000007,6.556612561150011,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=2.9,3.1000000000000005,8.25,8.205235724284671e-06,False,False,3.6000000000000005,3.4000000000000004,,0.0,0.0,0.0,-8.250000000000002,7.197752715550017,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.0,3.2,2.25,6.338487170239621e-06,False,True,3.7,3.5,5.7,3.546125772000007,1.7730628860000035,0.0037062201157401454,-2.2499999999999964,-0.013259912149983677,0.0,-0.09999999999999964
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.0,3.2,3.75,1.549407974947463e-05,False,False,3.7,3.5,,0.0,0.0,0.0,-3.75,2.761103077750022,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.0,3.2,5.25,2.3241119624211944e-05,False,False,3.7,3.5,,0.0,0.0,0.0,-5.2500000000000036,5.006933540950023,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.0,3.2,6.75,1.8311185158470016e-05,False,False,3.7,3.5,,0.0,0.0,0.0,-6.750000000000007,6.151426272550005,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.0,3.2,8.25,7.042763522488468e-06,False,False,3.7,3.5,,0.0,0.0,0.0,-8.250000000000002,6.7925664269500174,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.1,3.3000000000000003,2.25,5.45612507171358e-06,False,True,3.8000000000000003,3.6,5.6000000000000005,3.9961257720000063,1.9980628860000031,0.003992082615271867,-2.2499999999999964,-0.06940733494998597,0.0,-0.15000000000000036
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.1,3.3000000000000003,3.75,1.3337194619744306e-05,False,False,3.8000000000000003,3.6,,0.0,0.0,0.0,-3.75,1.9507305005500157,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.1,3.3000000000000003,5.25,2.000579192961646e-05,False,False,3.8000000000000003,3.6,,0.0,0.0,0.0,-5.2500000000000036,4.196560963750031,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.1,3.3000000000000003,6.75,1.5762139096061454e-05,False,False,3.8000000000000003,3.6,,0.0,0.0,0.0,-6.750000000000007,5.341053695350006,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.1,3.3000000000000003,8.25,6.062361190792867e-06,False,False,3.8000000000000003,3.6,,0.0,0.0,0.0,-8.250000000000002,5.982193849750018,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.2,3.4000000000000004,2.25,4.709238778905475e-06,False,True,3.9000000000000004,3.7,5.5,4.446125772000006,2.223062886000003,0.004299898663856429,-2.2499999999999964,-0.035554757749984844,0.0,-0.14999999999999947
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.2,3.4000000000000004,3.75,1.1511472570657828e-05,False,False,3.9000000000000004,3.7,,0.0,0.0,0.0,-3.75,1.1403579233500238,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.2,3.4000000000000004,5.25,1.7267208855986744e-05,False,False,3.9000000000000004,3.7,,0.0,0.0,0.0,-5.2500000000000036,3.3861883865500317,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.2,3.4000000000000004,6.75,1.3604467583504707e-05,False,False,3.9000000000000004,3.7,,0.0,0.0,0.0,-6.750000000000007,4.530681118150021,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.2,3.4000000000000004,8.25,5.232487532117195e-06,False,False,3.9000000000000004,3.7,,0.0,0.0,0.0,-8.250000000000002,5.1718212725500265,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.3,3.5000000000000004,2.25,4.074823149093997e-06,False,True,4.0,3.8,5.45,4.783625772000005,2.3918128860000025,0.004546168168031142,-2.2499999999999964,-0.15369596914997175,0.0,-0.25
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.3,3.5000000000000004,3.75,9.960678808896438e-06,False,False,4.0,3.8,,0.0,0.0,0.0,-3.75,0.32998534615003194,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.3,3.5000000000000004,5.25,1.4941018213344657e-05,False,False,4.0,3.8,,0.0,0.0,0.0,-5.2500000000000036,2.57581580935004,0.0,
2317,9.531668999,7.83,41.51,5.30140485312899,5.15,,0.2,o=3.3,3.5000000000000004,6.75,1.1771711319604882e-05,False,False,4.0,3.8,,0.0,0.0,0.0,-6.750000000000007,3.720308540950022,0.0,
