seed_id,omega,v_f0,d0,thw0,t_crash_orig,t_lead_onset,t_anchor,schedule,glance_end,d_max,prob,no_response,crashed,t_onset,rt_vs_anchor,t_impact,v_rel_impact,dv_lead,p_inj,a_f_min,min_gap,a_l_min,t_nr
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 0,13.31158321879477,2.25,0.0018,False,False,1.1791432228874217,0.7291432228874217,,0.0,0.0,0.0,-2.250000000000001,3.0437339111,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 0,13.31158321879477,3.75,0.0044,False,False,1.1791432228874217,0.7291432228874217,,0.0,0.0,0.0,-3.75,3.0799693758,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 0,13.31158321879477,5.25,0.006600000000000001,False,False,1.1791432228874217,0.7291432228874217,,0.0,0.0,0.0,-5.087092940000001,3.08760210815,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 0,13.31158321879477,6.75,0.005200000000000001,False,False,1.1791432228874217,0.7291432228874217,,0.0,0.0,0.0,-5.087092940000001,3.08760210815,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 0,13.31158321879477,8.25,0.002,False,False,1.1791432228874217,0.7291432228874217,,0.0,0.0,0.0,-5.087092940000001,3.08760210815,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 1,12.370869770590797,2.25,0.0018,False,False,1.787993380092317,1.337993380092317,,0.0,0.0,0.0,-2.250000000000001,2.5455211229000008,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 1,12.370869770590797,3.75,0.0044,False,False,1.787993380092317,1.337993380092317,,0.0,0.0,0.0,-3.75,2.5817565876,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 1,12.370869770590797,5.25,0.006600000000000001,False,False,1.787993380092317,1.337993380092317,,0.0,0.0,0.0,-5.087092940000001,2.5893893199500004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 1,12.370869770590797,6.75,0.005200000000000001,False,False,1.787993380092317,1.337993380092317,,0.0,0.0,0.0,-5.087092940000001,2.5893893199500004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 1,12.370869770590797,8.25,0.002,False,False,1.787993380092317,1.337993380092317,,0.0,0.0,0.0,-5.087092940000001,2.5893893199500004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 2,13.107369484472473,2.25,0.0018,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-2.250000000000001,3.25132257285,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 2,13.107369484472473,3.75,0.0044,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-3.75,3.28755803755,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,process draw 2,13.107369484472473,5.25,0.006600000000000001,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
