seed_id,omega,v_f0,d0,thw0,t_crash_orig,t_lead_onset,t_anchor,schedule,glance_end,d_max,prob,no_response,abnormal,crashed,t_onset,rt_vs_anchor,t_impact,v_rel_impact,dv_lead,p_inj,a_f_min,min_gap,a_l_min,t_nr
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,3.75,0.10666650666650668,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-3.75,3.28755803755,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,5.25,0.19555539555539558,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,6.75,0.21333381333381332,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,8.25,0.19555539555539558,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,9.75,0.07111127111127112,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,no glance,,11.25,0.017777617777617778,False,False,False,0.95,0.49999999999999994,,0.0,0.0,0.0,-5.087092940000001,3.2951907699,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,3.75,0.0040964516148361855,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-3.75,3.20452257285,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,5.25,0.00751016641444366,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-5.087092940000001,3.2121553052,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,6.75,0.00819293395313629,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-5.087092940000001,3.2121553052,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,8.25,0.00751016641444366,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-5.087092940000001,3.2121553052,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,9.75,0.0027309779843787637,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-5.087092940000001,3.2121553052,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.1,0.55,11.25,0.0006827368152287109,False,False,False,1.05,0.6000000000000001,,0.0,0.0,0.0,-5.087092940000001,3.2121553052,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,3.75,0.003982583410946632,False,False,False,1.15,0.7,,0.0,0.0,0.0,-3.75,3.12148710815,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,5.25,0.007301407898310534,False,False,False,1.15,0.7,,0.0,0.0,0.0,-5.087092940000001,3.1291198405,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,6.75,0.007965196691343518,False,False,False,1.15,0.7,,0.0,0.0,0.0,-5.087092940000001,3.1291198405,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,8.25,0.007301407898310534,False,False,False,1.15,0.7,,0.0,0.0,0.0,-5.087092940000001,3.1291198405,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,9.75,0.002655065563781173,False,False,False,1.15,0.7,,0.0,0.0,0.0,-5.087092940000001,3.1291198405,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.2,0.65,11.25,0.0006637589235827293,False,False,False,1.15,0.7,,0.0,0.0,0.0,-5.087092940000001,3.1291198405,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.3,0.75,3.75,0.0037723139056377005,False,False,False,1.25,0.8,,0.0,0.0,0.0,-3.75,3.03845164345,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.3,0.75,5.25,0.0069159135424066214,False,False,False,1.25,0.8,,0.0,0.0,0.0,-5.087092940000001,3.0460843758,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.3,0.75,6.75,0.0075446561037004235,False,False,False,1.25,0.8,,0.0,0.0,0.0,-5.087092940000001,3.0460843758,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,o=0.3,0.75,8.25,0.0069159135424066214,False,False,False,1.25,0.8,,0.0,0.0,0.0,-5.087092940000001,3.0460843758,0.0,
