seed_id,omega,v_f0,d0,thw0,t_crash_orig,t_lead_onset,t_anchor,schedule,glance_end,d_max,prob,no_response,abnormal,crashed,t_onset,rt_vs_anchor,t_impact,v_rel_impact,dv_lead,p_inj,a_f_min,min_gap,a_l_min,t_nr
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,3.75,0.13333313333313335,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-3.75,2.54023885525,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,5.25,0.24444424444424445,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-5.087092940000001,2.5478715876000004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,6.75,0.26666726666726664,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-5.087092940000001,2.5478715876000004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,8.25,0.24444424444424445,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-5.087092940000001,2.5478715876000004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,9.75,0.08888908888908889,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-5.087092940000001,2.5478715876000004,0.0,
3456,2.981746817,0.0,4.021037145,40.21037145,5.05,,0.45,attentive,,11.25,0.02222202222202222,False,False,False,1.85,1.4000000000000001,,0.0,0.0,0.0,-5.087092940000001,2.5478715876000004,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,3.75,0.13333313333313335,False,False,False,0.7,0.6,,0.0,0.0,0.0,-3.75,12.228113343099999,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,5.25,0.24444424444424445,False,False,False,0.7,0.6,,0.0,0.0,0.0,-5.2500000000000036,12.898740208150002,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,6.75,0.26666726666726664,False,False,False,0.7,0.6,,0.0,0.0,0.0,-6.75,13.214814203700001,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,8.25,0.24444424444424445,False,False,False,0.7,0.6,,0.0,0.0,0.0,-8.250000000000002,13.3758939158,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,9.75,0.08888908888908889,False,False,False,0.7,0.6,,0.0,0.0,0.0,-9.75,13.453489117350001,0.0,
1989,8.522252513,3.43,18.21,5.309037900874635,5.05,,0.1,attentive,,11.25,0.02222202222202222,False,False,False,0.7,0.6,,0.0,0.0,0.0,-11.25,13.485557660750002,0.0,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,3.75,0.13333313333313335,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-3.75,3.646049999999999,-2.680000000000027,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,5.25,0.24444424444424445,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-5.2500000000000036,3.646049999999999,-2.680000000000027,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,6.75,0.26666726666726664,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-6.75,3.646049999999999,-2.680000000000027,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,8.25,0.24444424444424445,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-8.250000000000002,3.646049999999999,-2.680000000000027,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,9.75,0.08888908888908889,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-9.75,3.646049999999999,-2.680000000000027,
137,5.614050536,4.96,3.94,0.7943548387096774,4.9,2.4000000000000004,3.3000000000000003,attentive,,11.25,0.02222202222202222,False,False,False,3.3500000000000005,0.050000000000000266,,0.0,0.0,0.0,-11.25,3.646049999999999,-2.680000000000027,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,3.75,0.13333313333313335,False,False,False,1.75,1.75,,0.0,0.0,0.0,-3.75,8.160607499999996,0.0,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,5.25,0.24444424444424445,False,False,False,1.75,1.75,,0.0,0.0,0.0,-5.2500000000000036,8.531062499999997,0.0,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,6.75,0.26666726666726664,False,False,False,1.75,1.75,,0.0,0.0,0.0,-6.75,8.695799999999998,0.0,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,8.25,0.24444424444424445,False,False,False,1.75,1.75,,0.0,0.0,0.0,-8.250000000000002,8.770612499999999,0.0,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,9.75,0.08888908888908889,False,False,False,1.75,1.75,,0.0,0.0,0.0,-9.750000000000005,8.799487499999998,0.0,
97,3.931568437,4.67,16.05,3.436830835117773,4.85,,0.0,attentive,,11.25,0.02222202222202222,False,False,False,1.75,1.75,,0.0,0.0,0.0,-11.25,8.810849999999997,0.0,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,3.75,0.13333313333313335,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-3.75,9.88,-1.3500000000000068,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,5.25,0.24444424444424445,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-5.2500000000000036,9.88,-1.3500000000000068,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,6.75,0.26666726666726664,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-6.75,9.88,-1.3500000000000068,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,8.25,0.24444424444424445,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-8.250000000000002,9.88,-1.3500000000000068,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,9.75,0.08888908888908889,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-9.75,9.88,-1.3500000000000068,
3992,1.947109029,3.25,9.88,3.04,5.15,0.0,2.3000000000000003,attentive,,11.25,0.02222202222202222,False,False,False,1.5,-0.8000000000000003,,0.0,0.0,0.0,-11.25,9.88,-1.3500000000000068,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,3.75,0.13333313333313335,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-3.75,2.561112499999993,-4.890000000000043,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,5.25,0.24444424444424445,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-5.2500000000000036,4.21,-4.890000000000043,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,6.75,0.26666726666726664,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-6.750000000000007,4.21,-4.890000000000043,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,8.25,0.24444424444424445,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-8.250000000000002,4.21,-4.890000000000043,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,9.75,0.08888908888908889,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-9.75,4.21,-4.890000000000043,
4538,7.794144616,7.55,4.21,0.5576158940397351,4.85,2.75,3.4000000000000004,attentive,,11.25,0.02222202222202222,False,False,False,3.45,0.04999999999999982,,0.0,0.0,0.0,-11.25,4.21,-4.890000000000043,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,3.75,0.13333313333313335,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-3.75,1.6051952572499997,0.0,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,5.25,0.24444424444424445,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-4.608,1.6073402572499995,0.0,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,6.75,0.26666726666726664,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-4.608,1.6073402572499995,0.0,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,8.25,0.24444424444424445,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-4.608,1.6073402572499995,0.0,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,9.75,0.08888908888908889,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-4.608,1.6073402572499995,0.0,
3367,70.2971636,0.0,2.877707809,28.777078089999996,5.15,,0.45,attentive,,11.25,0.02222202222202222,False,False,False,2.2500000000000004,1.8000000000000005,,0.0,0.0,0.0,-4.608,1.6073402572499995,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,3.75,0.13333313333313335,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-3.75,2.7493577452750007,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,5.25,0.24444424444424445,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-5.25,2.7581151822250005,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,6.75,0.26666726666726664,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-6.75,2.758752682225001,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,8.25,0.24444424444424445,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-6.912,2.758752682225001,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,9.75,0.08888908888908889,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-6.912,2.758752682225001,0.0,
3749,9.663026566,0.35,3.77,10.771428571428572,4.85,,0.5,attentive,,11.25,0.02222202222202222,False,False,False,1.35,0.8500000000000001,,0.0,0.0,0.0,-6.912,2.758752682225001,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,3.75,0.13333313333313335,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-3.75,1.8830632820000002,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,5.25,0.24444424444424445,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-5.25,1.9493332820000002,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,6.75,0.26666726666726664,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-6.75,1.9681882820000005,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,8.25,0.24444424444424445,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-7.416000000000003,1.9724632820000003,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,9.75,0.08888908888908889,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-7.416000000000003,1.9724632820000003,0.0,
3164,1.82206599,0.0,3.327863282,33.27863282,5.05,,3.5,attentive,,11.25,0.02222202222202222,False,False,False,4.1000000000000005,0.6000000000000005,,0.0,0.0,0.0,-7.416000000000003,1.9724632820000003,0.0,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,3.75,0.13333313333313335,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-3.75,7.94988,-1.5900000000000114,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,5.25,0.24444424444424445,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-5.2500000000000036,8.1607125,-1.5900000000000114,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,6.75,0.26666726666726664,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-6.750000000000007,8.224650000000002,-1.5900000000000114,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,8.25,0.24444424444424445,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-8.250000000000002,8.24238,-1.5900000000000114,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,9.75,0.08888908888908889,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-9.75,8.247772500000002,-1.5900000000000114,
4609,7.557810166,6.44,9.57,1.486024844720497,5.05,0.4,1.55,attentive,,11.25,0.02222202222202222,False,False,False,1.5,-0.050000000000000044,,0.0,0.0,0.0,-11.25,8.247772500000002,-1.5900000000000114,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,3.75,0.13333313333313335,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-3.75,27.360649074125007,-2.300000000000013,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,5.25,0.24444424444424445,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-5.2500000000000036,28.15029597082501,-2.300000000000013,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,6.75,0.26666726666726664,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-6.750000000000007,28.365257802575005,-2.300000000000013,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,8.25,0.24444424444424445,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-8.250000000000002,28.444659666175003,-2.300000000000013,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,9.75,0.08888908888908889,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-9.75,28.472806043225006,-2.300000000000013,
4014,3.179482823,7.69,29.97,3.897269180754226,5.2,0.0,1.85,attentive,,11.25,0.02222202222202222,False,False,False,0.7,-1.1500000000000001,,0.0,0.0,0.0,-11.25,28.478118006725005,-2.300000000000013,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,3.75,0.13333313333313335,False,False,False,1.55,1.55,,0.0,0.0,0.0,-3.75,6.626281537774998,0.0,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,5.25,0.24444424444424445,False,False,False,1.55,1.55,,0.0,0.0,0.0,-5.2500000000000036,6.850220796724998,0.0,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,6.75,0.26666726666726664,False,False,False,1.55,1.55,,0.0,0.0,0.0,-6.75,6.943051136024997,0.0,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,8.25,0.24444424444424445,False,False,False,1.55,1.55,,0.0,0.0,0.0,-8.250000000000002,6.979555055674998,0.0,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,9.75,0.08888908888908889,False,False,False,1.55,1.55,,0.0,0.0,0.0,-9.75,6.993092555674998,0.0,
7,0.48163867,3.6,12.11,3.3638888888888885,4.9,,0.0,attentive,,11.25,0.02222202222202222,False,False,False,1.55,1.55,,0.0,0.0,0.0,-11.25,6.995943975324998,0.0,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,3.75,0.13333313333313335,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-3.75,7.169229528300015,-2.8500000000000147,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,5.25,0.24444424444424445,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-5.2500000000000036,8.227528077500018,-2.8500000000000147,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,6.75,0.26666726666726664,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-6.750000000000007,8.741899761425014,-2.8500000000000147,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,8.25,0.24444424444424445,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-8.250000000000002,8.956689036025015,-2.8500000000000147,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,9.75,0.08888908888908889,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-9.75,9.046976173325014,-2.8500000000000147,
4191,4.261058731,4.98,13.28,2.6666666666666665,5.15,1.0,2.8000000000000003,attentive,,11.25,0.02222202222202222,False,False,False,3.0000000000000004,0.20000000000000018,,0.0,0.0,0.0,-11.25,9.083928673325012,-2.8500000000000147,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,3.75,0.13333313333313335,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-3.75,1.694845000000015,-4.030000000000018,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,5.25,0.24444424444424445,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-5.25,1.8772750000000133,-4.030000000000018,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,6.75,0.26666726666726664,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-6.750000000000003,1.950712500000014,-4.030000000000018,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,8.25,0.24444424444424445,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-8.250000000000002,1.9771500000000142,-4.030000000000018,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,9.75,0.08888908888908889,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-9.75,1.9846525000000153,-4.030000000000018,
118,6.059074369,2.7,2.25,0.8333333333333333,4.85,2.6,3.1500000000000004,attentive,,11.25,0.02222202222202222,False,False,False,3.7500000000000004,0.6000000000000001,,0.0,0.0,0.0,-10.367999999999999,1.9854250000000153,-4.030000000000018,
843,7.558013462,4.63,10.69,2.308855291576674,5.1,0.0,0.1,attentive,,3.75,0.13333313333313335,False,False,False,1.8,1.7,,0.0,0.0,0.0,-3.75,5.8112700000000075,-0.17000000000000348,
